      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.5164        2.049       -0.588        0.338        3.265        2.303        9.935
 2004.5191        0.520        0.884        0.865        3.285        2.307        9.992
 2004.5219        0.244        2.229        1.948        3.223        2.252        9.754
 2004.5246        2.101        0.567        1.768        3.252        2.281        9.905
 2004.5273        1.408        1.416       -0.890        3.271        2.294        9.976
 2004.5301        3.310       -0.722       -3.052        3.284        2.300        9.956
 2004.5328        1.150       -0.830        1.693        3.267        2.272        9.886
 2004.5355        2.808        0.952        9.699        3.293        2.294        9.969
 2004.5383        1.899        1.038       -8.709        3.366        2.408       10.503
 2004.5410        1.159        0.710        4.525        3.311        2.334       10.150
 2004.5437        2.095        1.853       -2.487        3.259        2.289        9.912
 2004.5464        0.138        3.881      -10.369        3.339        2.339       10.198
 2004.5492       -1.055        0.775        1.449        3.256        2.309        9.994
 2004.5519        2.796       -0.239        2.967        3.266        2.267        9.794
 2004.5546       -0.166        1.354       -0.848        3.221        2.275        9.803
 2004.5574        1.895        1.120       -2.670        3.228        2.258        9.722
 2004.5601        0.224        0.276       -0.772        3.247        2.274        9.824
 2004.5628        3.850       -0.249       -2.737        3.351        2.360       10.261
 2004.5656        1.450       -1.960        1.630        3.237        2.291        9.836
 2004.5683        1.849        3.917        3.301        3.411        2.397       10.594
 2004.5710        0.979        1.137        2.554        3.225        2.262        9.716
 2004.5738        0.651        1.007        4.559        3.226        2.265        9.747
 2004.5765        1.271        2.142       -1.023        3.244        2.278        9.785
 2004.5792        1.413        1.608        0.947        3.234        2.286        9.833
 2004.5820        1.753       -0.591        1.370        3.236        2.277        9.805
 2004.5847        0.659        1.961        0.924        3.259        2.295        9.800
 2004.5874        0.242        1.503       -0.652        4.023        2.975       12.488
 2004.5929       -1.289        2.393       -3.772        3.438        2.423       10.638
 2004.5956       -0.663        0.710       -2.839        3.236        2.320        9.898
 2004.5984       -0.945        1.116       -3.274        3.230        2.265        9.724
 2004.6011       -0.953        1.256       -2.929        3.228        2.267        9.710
 2004.6038        0.273        1.004       -4.930        3.247        2.285        9.823
 2004.6066       -1.624       -0.156       -0.101        3.280        2.306        9.913
 2004.6093       -1.989        1.542       -0.202        3.235        2.298        9.776
 2004.6120       -0.321        2.039       -5.132        3.225        2.277        9.739
 2004.6148       -1.028        2.556       -3.528        3.312        2.303       10.014
 2004.6175       -1.218        0.592        1.340        3.276        2.288        9.844
 2004.6202       -0.556        0.684        3.458        3.266        2.293        9.895
 2004.6230        0.018        3.487       -7.703        3.313        2.349        9.927
 2004.6257       -2.304        2.690        0.021        3.209        2.252        9.662
 2004.6284       -1.080        1.829       -1.363        3.280        2.272        9.791
 2004.6311       -0.215        1.621       -1.486        3.249        2.288        9.776
 2004.6339       -0.743        2.284        0.941        3.277        2.287        9.853
 2004.6366       -3.414        1.402        4.479        3.279        2.321        9.930
 2004.6393       -1.040        0.930       11.597        3.218        2.285        9.711
 2004.6421       -0.812        1.180        4.033        3.206        2.259        9.682
 2004.6448       -1.352       -0.302        1.605        3.256        2.295        9.810
 2004.6475       -0.805        3.263       -8.731        5.505        3.673       15.280
 2004.6503        0.374        0.549        6.014        3.165        2.209        9.531
 2004.6530       -0.115        0.942       -5.160        2.985        2.125        8.992
 2004.6557       -1.115        2.453       -0.181        3.043        2.207        9.374
 2004.6585       -1.866        0.738        2.970        3.055        2.183        9.396
 2004.6612       -3.983       -2.290       -0.164        3.122        2.217        9.520
 2004.6639       -2.797        2.608       -0.252        3.024        2.181        9.197
 2004.6667       -1.923        1.782        0.620        3.025        2.157        9.248
 2004.6694        0.037        1.996        3.763        3.032        2.154        9.200
 2004.6721       -1.265        0.735        0.938        2.969        2.119        8.992
 2004.6749       -0.216        0.364        0.793        2.989        2.128        9.031
 2004.6776        1.361       -0.247        2.419        2.971        2.114        8.999
 2004.6803       -0.853        0.131        3.082        2.991        2.140        9.085
 2004.6831       -1.625        0.026       -1.293        2.997        2.136        9.069
 2004.6858       -2.253        1.513        2.113        3.069        2.173        9.257
 2004.6885       -0.443        1.115        5.614        3.016        2.139        9.076
 2004.6913       -0.335        1.890       -3.756        2.996        2.117        9.045
 2004.6940       -3.093        3.358        2.630        3.059        2.187        9.338
 2004.6967       -3.634        1.673        3.856        2.982        2.123        9.040
 2004.6995       -3.169        0.333        7.735        3.066        2.176        9.273
 2004.7022        1.574       -0.985        7.260        2.995        2.105        8.948
 2004.7049       -0.464        0.011        4.357        2.974        2.113        8.939
 2004.7077       -2.307        0.197        3.028        2.961        2.114        8.905
 2004.7104       -3.543        1.225        9.322        2.974        2.139        9.040
 2004.7131       -0.257       -0.157        5.536        2.955        2.094        8.854
 2004.7158       -1.312        0.025        2.889        2.954        2.105        8.921
 2004.7186       -0.548        0.261        1.419        2.979        2.092        8.888
 2004.7213       -2.829        3.014        5.553        2.974        2.127        8.890
 2004.7240        0.320        1.889        0.998        3.006        2.147        9.026
 2004.7268       -1.569       -0.140        1.911        2.985        2.111        9.014
 2004.7295       -3.698       -1.077        4.971        2.994        2.135        8.978
 2004.7322       -2.732        1.076        3.131        2.938        2.107        8.840
 2004.7350       -1.435        0.995        5.175        2.982        2.118        8.851
 2004.7377       -0.261        1.619        6.291        2.989        2.139        8.879
 2004.7404        3.113       -0.935        2.626        2.974        2.116        8.866
 2004.7432        1.442        0.298        5.958        2.970        2.119        8.979
 2004.7459        1.250        1.270        4.690        2.942        2.104        8.864
 2004.7486       -0.469        3.054       -3.788        2.955        2.112        8.888
 2004.7514        0.336        0.079        2.189        2.942        2.113        8.797
 2004.7541        0.179       -0.547       -2.570        2.949        2.108        8.800
 2004.7568        0.165        1.317       -4.221        2.957        2.121        8.821
 2004.7596        1.780        2.358        2.477        2.990        2.162        9.003
 2004.7623        0.029        3.087       10.598        2.978        2.126        8.932
 2004.7650       -1.817        0.803       -1.159        2.946        2.097        8.762
 2004.7678        0.828        3.346       -1.426        3.081        2.220        9.275
 2004.7705       -3.651        0.186        2.394        3.060        2.179        9.165
 2004.7732       -0.912        0.497       -1.336        3.014        2.169        8.971
 2004.7760       -2.073        2.544       -2.863        3.021        2.174        9.021
 2004.7787        0.380       -0.018       -6.045        3.003        2.144        8.826
