      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.5874        0.177       -1.185        5.138        2.810        1.964        7.800
 2004.5902        0.497       -1.024        1.018        2.785        1.959        7.753
 2004.5929       -0.482        0.720       -1.406        2.748        1.977        7.768
 2004.5956        0.211       -1.601        0.165        2.749        1.964        7.783
 2004.5984       -0.986        0.218       -3.772        2.760        1.940        7.696
 2004.6011        0.655       -1.378       -5.379        2.720        1.914        7.523
 2004.6038        1.656       -0.467       -5.025        2.734        1.925        7.603
 2004.6066        0.179       -1.191        0.502        2.736        1.924        7.569
 2004.6093       -0.197        1.100       -5.643        2.732        1.920        7.585
 2004.6120        1.411        0.141       -4.398        2.720        1.915        7.564
 2004.6148        0.247        0.585       -2.203        2.796        1.960        7.799
 2004.6175        0.896       -0.808        0.008        2.751        1.917        7.653
 2004.6202       -0.887        0.049       -1.667        2.761        1.940        7.711
 2004.6230        0.398        0.776        1.562        2.807        1.996        7.848
 2004.6257       -0.693        0.040        4.365        2.734        1.935        7.705
 2004.6284       -0.446        0.651       -3.887        2.752        1.924        7.669
 2004.6311       -0.274        0.233       -1.342        2.763        1.932        7.685
 2004.6339        0.932        0.801       -2.408        2.768        1.951        7.798
 2004.6366       -0.900       -0.638        1.092        2.744        1.925        7.607
 2004.6393       -2.638        0.774        7.636        2.756        1.952        7.644
 2004.6421       -0.571        0.635        9.584        2.714        1.911        7.535
 2004.6448        0.194       -0.471        2.529        2.726        1.914        7.579
 2004.6475       -0.986        0.173        1.952        2.763        1.964        7.673
 2004.6503        0.694       -1.244        1.900        2.762        1.937        7.644
 2004.6530       -0.251        0.155       -4.414        2.746        1.925        7.648
 2004.6557       -1.146        0.983       -0.613        2.759        1.975        7.842
 2004.6585       -0.424       -1.326       -2.344        2.769        1.992        7.897
 2004.6612        0.611       -1.659       -1.286        2.815        2.001        7.959
 2004.6639       -0.495       -0.000       -3.280        2.780        1.945        7.721
 2004.6667       -0.741       -0.415       -4.870        2.797        1.958        7.806
 2004.6694       -0.737        2.448        0.987        2.742        1.920        7.570
 2004.6721       -0.796        1.193       -0.794        2.742        1.928        7.592
 2004.6749       -0.518       -0.158        1.314        2.754        1.939        7.663
 2004.6776        0.962       -0.508       -1.265        2.767        1.928        7.586
 2004.6803        1.143       -0.097        0.382        2.774        1.939        7.703
 2004.6831        0.476        0.050        3.017        2.769        1.928        7.639
 2004.6858        1.187        1.378       -1.616        2.751        1.935        7.641
 2004.6885        0.736       -1.417        1.640        2.765        1.941        7.670
 2004.6913        1.895        2.323       -0.558        2.757        1.923        7.573
 2004.6940       -0.954       -3.504        5.748        2.779        1.946        7.760
 2004.6967        0.834        0.514        3.146        2.748        1.957        7.734
 2004.6995       -0.261       -0.239        3.998        2.797        1.946        7.719
 2004.7022       -0.239       -0.010        2.577        2.760        1.954        7.718
 2004.7049       -0.282       -0.423        5.587        2.734        1.926        7.571
 2004.7077       -1.240        0.332       -1.958        2.768        1.938        7.662
 2004.7104       -1.299       -1.241        5.666        2.761        1.947        7.678
 2004.7131       -1.005       -0.120        5.519        2.746        1.932        7.640
 2004.7158        0.332       -1.128        2.456        2.725        1.918        7.512
 2004.7186        0.488        0.549       -1.808        2.753        1.926        7.572
 2004.7213        0.002        1.769       -2.625        2.742        1.923        7.539
 2004.7240        2.715        2.355       -2.221        2.734        1.933        7.571
 2004.7268        0.414       -0.104        2.553        2.729        1.922        7.570
 2004.7295       -0.264       -1.465       -2.204        2.708        1.917        7.485
 2004.7322       -0.791        0.387        1.446        2.730        1.937        7.580
 2004.7350       -0.264        0.364       -3.794        2.728        1.922        7.503
 2004.7377       -0.326        2.025       -5.234        2.747        1.935        7.588
 2004.7404        1.254       -0.008       -5.979        3.052        2.123        8.519
 2004.7541        0.750        0.687       -1.645        2.660        1.893        7.303
 2004.7568        0.866        2.053        0.348        2.650        1.879        7.245
 2004.7596       -0.277        1.465        9.909        2.655        1.892        7.318
 2004.7623       -0.467        2.402        9.737        2.708        1.919        7.493
 2004.7650       -0.123        0.207        4.294        2.688        1.902        7.379
 2004.7678       -0.271       -1.105        6.713        2.763        1.960        7.572
 2004.7705       -1.921       -0.053        4.930        2.730        1.937        7.440
 2004.7732        0.529        0.851        3.123        2.705        1.939        7.422
 2004.7760       -1.008        0.601        0.737        2.733        1.950        7.521
 2004.7787       -0.127        0.774       -2.623        2.721        1.950        7.494
 2004.7814       -1.186        1.322       -3.639        3.077        2.171        8.595
 2004.7978       -2.002       -0.210        1.734        5.519        4.050       14.381
 2004.8005       -1.418       -1.205        6.081        2.762        1.938        7.478
 2004.8033       -0.343        1.320        6.759        2.736        1.923        7.494
 2004.8060       -0.366       -0.638        8.770        2.734        1.921        7.446
 2004.8087       -2.350        0.407        7.044        2.753        1.942        7.457
 2004.8115       -2.105        1.090        9.384        2.673        1.893        7.310
 2004.8142       -2.565       -0.180        8.755        2.659        1.884        7.265
 2004.8169       -1.406        0.825        6.911        2.779        1.965        7.597
 2004.8197       -1.228       -1.079       -2.150        2.722        1.944        7.442
 2004.8224       -1.400       -1.098        3.407        2.692        1.899        7.360
 2004.8251       -1.086        0.528        0.213        2.683        1.895        7.337
 2004.8279       -2.375       -1.932        1.893        2.735        1.963        7.536
 2004.8306       -1.771        0.983       -0.253        2.651        1.884        7.252
 2004.8333       -0.493        2.691       -1.252        2.711        1.951        7.452
 2004.8361       -0.097        1.166        1.493        2.701        1.914        7.426
 2004.8388       -1.145        2.481       -6.722        2.736        1.961        7.508
 2004.8415       -1.350        1.147       -5.354        2.684        1.905        7.367
 2004.8443       -2.266        0.928        1.570        2.763        1.964        7.597
 2004.8470       -0.784        0.716        2.724        2.679        1.903        7.370
 2004.8497        1.188        3.040        6.627        2.764        1.954        7.636
 2004.8525        1.039        4.112        0.977        3.452        2.389        9.241
 2004.8552        0.090        1.356        4.432        2.814        1.988        7.812
 2004.8579        0.714        5.538        1.160        2.928        2.096        8.328
 2004.8607        2.085        3.954       -5.612        2.674        1.894        7.276
 2004.8634        1.668        3.513        0.241        2.694        1.917        7.392
 2004.8661        0.474        3.791       -0.746        2.673        1.906        7.312
 2004.8689        0.008        3.181       -2.192        2.664        1.925        7.400
 2004.8716        0.555        4.996        6.372        2.712        1.941        7.560
 2004.8743        0.572        2.356        1.412        2.674        1.918        7.371
 2004.8770        0.056        1.513       -2.602        2.680        1.912        7.345
 2004.8798        0.246        0.864        1.912        2.701        1.952        7.573
 2004.8825       -0.321        2.296       -9.140        2.756        1.992        7.673
 2004.8852        1.851        3.284       -4.695        2.690        1.904        7.349
 2004.8880        1.350        2.501       -1.978        2.652        1.896        7.247
 2004.8907        1.503        3.089        3.700        2.654        1.889        7.228
 2004.8934        0.630        3.070        5.238        2.745        1.925        7.416
 2004.8962        0.717        2.010       10.547        2.702        1.923        7.371
 2004.8989        0.027        1.481       10.447        2.674        1.949        7.423
 2004.9016        1.789        1.798        4.598        2.608        1.889        7.251
 2004.9044        0.546        0.717        4.885        2.598        1.880        7.171
 2004.9071        1.624        1.868       -2.166        2.625        1.890        7.250
 2004.9098        0.759        1.597       -1.753        2.619        1.895        7.285
 2004.9126        1.504        2.550        1.274        2.606        1.887        7.189
 2004.9153        1.702        2.461       -0.455        2.727        1.923        7.430
 2004.9180        1.608        1.065        4.047        2.713        1.921        7.431
 2004.9208        1.951        3.214        6.626        2.665        1.902        7.374
 2004.9235        3.063        1.920        7.341        2.641        1.901        7.332
 2004.9262        0.862        1.687       12.924        2.611        1.898        7.269
 2004.9290        1.262        0.892        9.571        2.663        1.901        7.330
 2004.9317        0.712        1.161       15.394        2.686        1.898        7.309
 2004.9344        1.394        0.547        8.994        2.674        1.905        7.328
 2004.9372        3.526        3.217        5.416        2.652        1.906        7.315
 2004.9399        3.144        3.207        6.947        2.749        1.973        7.608
 2004.9426        3.854        3.106        3.128        2.753        1.952        7.545
 2004.9454        2.020        3.462       -4.544        2.675        1.893        7.313
