      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2000.1940        0.504        0.349      -11.453        2.949        2.066        8.183
 2000.1967        1.022        0.998       -6.715        2.925        2.054        8.027
 2000.1995       -3.710       -3.667       -4.294        3.510        2.412        9.441
 2000.2104       -1.147       -2.066       -6.392        2.950        2.054        8.121
 2000.2131       -0.353       -2.632       -7.931        2.847        2.042        7.939
 2000.2158       -1.955       -0.333      -14.170        3.086        2.078        8.194
 2000.2186       -1.468        0.428       -7.658        3.236        2.254        8.677
 2000.2268        0.264        0.256       -9.069        2.949        2.056        8.115
 2000.2295       -4.425        4.790       -6.123        2.852        2.012        7.890
 2000.2322        1.761       -0.301       -7.298        3.068        2.122        8.464
 2000.2350       -0.646       -1.322       -8.422        3.292        2.171        8.621
 2000.2377       -0.667        1.558       -6.893        2.952        2.054        8.043
 2000.2404       -0.024       -1.471       -8.080        3.015        2.068        8.239
 2000.2432       -0.533        1.287      -15.703        3.194        2.165        8.612
 2000.2459       -0.293        0.232      -12.668        3.123        2.176        8.819
 2000.2486        1.990        2.984       -7.642        3.073        2.131        8.515
 2000.2514        4.111       -4.414       -7.052        3.053        2.129        8.497
 2000.2541        1.242       -0.133       -6.444        2.953        2.054        8.061
 2000.2568        1.971        0.659       -6.918        2.971        2.083        8.322
 2000.2596       -0.413       -0.162       -2.356        2.920        2.019        7.968
 2000.2623        4.018        1.255        0.784        3.363        2.262        8.884
 2000.2650        1.835        2.681       -8.325        3.135        2.139        8.606
 2000.2678       -0.381        2.793       -4.560        2.887        2.110        8.234
 2000.2705        1.281        0.880       -0.262        2.914        2.074        8.243
 2000.2732        1.349        3.184       -6.046        2.901        2.106        8.367
 2000.2760       -0.245        3.406       -4.506        2.838        2.017        7.941
 2000.2787        2.593        2.839       -7.884        3.077        2.114        8.431
 2000.2814        1.617        2.634        3.400        3.047        2.117        8.395
 2000.2842       -0.724        0.632        1.002        2.955        2.047        8.058
 2000.2869        1.386       -0.767        1.806        2.806        1.996        7.812
 2000.2896       -0.376        0.025       -0.424        2.905        2.055        8.260
 2000.2923        1.429        0.375       -5.363        2.851        2.031        8.005
 2000.2951        1.401        1.624       -3.715        2.827        2.010        7.883
 2000.2978       -0.895        2.424       -9.830        2.931        2.067        8.242
 2000.3005       -0.852        0.330       -1.731        2.954        2.042        8.183
 2000.3033       -1.398        3.050       -0.983        2.917        2.032        8.041
 2000.3060        0.131       -0.103       -1.284        2.867        2.013        7.954
 2000.3087       -0.272        1.856       -1.323        2.840        2.025        7.926
 2000.3115       -1.560       -0.443       -2.199        2.970        2.051        8.158
 2000.3142       -1.397        1.826       -1.900        2.818        1.998        7.825
 2000.3169        0.176        4.204       -1.498        2.828        1.998        7.855
 2000.3197        0.858        2.367        1.833        2.878        2.039        8.176
 2000.3224       -2.734        3.179        0.108        2.835        2.010        7.873
 2000.3251       -2.918        2.062       -1.665        2.821        2.003        7.819
 2000.3279        0.002        2.164       -7.305        2.827        1.994        7.812
 2000.3306       -1.030       -0.209       -2.740        2.818        1.993        7.803
 2000.3333       -0.543        1.145       -5.014        2.906        2.092        8.232
 2000.3361        0.262       -1.288       -3.217        2.975        2.151        8.423
 2000.3388        0.406        1.084        0.371        2.856        2.022        7.986
 2000.3415        0.083       -2.027       -2.506        2.863        2.010        7.974
 2000.3443       -1.971       -1.650       -1.533        2.833        1.984        7.782
 2000.3470       -1.185       -1.254       -8.043        2.840        2.010        7.924
 2000.3497       -0.903       -1.430       -2.991        2.834        1.999        7.929
 2000.3525        0.258        0.879       -1.476        2.854        2.012        8.006
 2000.3552       -1.471       -1.885        6.068        2.851        2.004        7.918
 2000.3579        0.602       -1.567       -4.669        2.919        2.085        8.105
 2000.3607       -1.744       -1.400       -6.813        2.934        2.104        8.219
 2000.3634       -0.135       -1.270       -9.705        2.873        2.012        8.027
 2000.3661        0.610       -2.507       -4.256        2.847        2.008        7.972
 2000.3689        1.071       -2.118       -7.965        2.914        2.020        8.080
 2000.3716       -1.168        0.042        2.133        2.860        2.036        8.014
 2000.3743       -0.160        0.045        0.688        2.862        2.027        8.080
 2000.3770       -0.533       -2.270       -0.472        2.865        2.021        8.013
 2000.3798       -0.593       -1.267       -4.417        2.873        2.008        8.024
 2000.3825        0.817       -1.584       -3.566        2.821        1.997        7.873
 2000.3852       -1.307       -1.518       -6.508        2.857        2.024        8.069
 2000.3880        1.166       -2.499       -1.189        2.856        2.004        7.956
 2000.3907        1.953       -0.997       -4.600        3.024        2.088        8.374
