      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2009.3041        4.182       -2.458       -4.109        3.757        2.963       14.039
 2009.3068        2.761        1.166        0.618        3.726        2.965       14.012
 2009.3096        0.191        0.325       -0.080        3.699        2.975       13.940
 2009.3123        2.737        0.021       -6.196        3.740        2.941       13.950
 2009.3151        2.132       -1.127       -9.176        3.690        2.992       13.870
 2009.3178        3.950       -0.429      -10.183        3.652        2.952       14.000
 2009.3205        2.986       -1.746       -8.520        3.655        2.890       13.841
 2009.3233        3.114        0.542        2.871        3.754        3.047       14.194
 2009.3260        1.787        1.168       -3.175        3.797        3.065       14.193
 2009.3288        1.260       -1.636       -8.648        3.684        3.006       13.711
 2009.3315       -0.740       -0.500        0.633        3.707        2.949       14.252
 2009.3342        1.151        2.339       -1.461        3.668        2.951       13.761
 2009.3370       -3.418       -0.012       -7.688        3.646        2.968       13.790
 2009.3397       -5.024        0.502       -1.504        3.708        3.005       13.884
 2009.3425       -0.213       -1.453       -9.841        3.661        2.954       13.648
 2009.3452       -0.001       -1.341       -8.054        3.703        2.925       14.034
 2009.3479       -0.317        1.116       -7.284        3.698        2.988       13.703
 2009.3507       -0.950       -0.693       -8.981        3.746        3.006       14.076
 2009.3534        0.347       -0.268       -2.355        3.767        3.024       14.114
 2009.3562       -0.134        0.092        1.453        3.691        2.965       13.641
 2009.3589        0.324       -0.959        1.043        3.782        2.996       13.852
 2009.3616        1.884        1.847        5.297        3.752        3.012       14.206
 2009.3644        1.673        1.924       -7.369        3.795        3.015       14.427
 2009.3671        1.182        1.836        4.607        3.662        2.969       13.796
 2009.3699        2.653        0.792       -9.265        3.746        3.013       14.023
 2009.3726        2.090        2.865        1.901        3.705        2.935       13.985
 2009.3753        0.909        1.187        3.033        3.769        2.940       14.248
 2009.3781       -0.738        2.935       11.745        3.807        3.024       14.214
 2009.3808        1.129        1.483       -2.251        3.795        2.984       14.589
 2009.3836       -0.012       -1.004      -11.434        3.847        3.078       14.510
 2009.3863        1.447        1.118       -6.869        3.718        2.993       13.998
 2009.3890        0.977        1.888       -6.454        3.732        3.006       13.963
 2009.3918        1.042        1.556       -4.712        3.780        2.983       14.362
 2009.3945        1.082        1.326       -7.616        3.760        3.026       14.425
 2009.3973       -0.034        1.079       -1.520        3.781        3.040       14.446
 2009.4000        1.294        1.073        2.084        3.747        3.059       14.010
 2009.4027        1.620        1.317        5.239        3.772        3.087       14.259
 2009.4055        0.559        0.537        7.923        3.802        3.018       14.447
 2009.4082        2.535        1.773       -0.138        3.816        3.065       14.720
 2009.4110        4.409        1.579        3.799        3.770        3.120       14.621
 2009.4137       -0.757        0.364       -2.426        3.794        3.091       14.683
 2009.4164        1.198        0.742        6.047        3.782        3.111       14.374
 2009.4192        0.936        2.237       -4.934        3.749        3.082       14.287
 2009.4219        0.772       -0.392       -0.081        3.784        3.092       14.836
 2009.4247        1.979        1.425        1.694        3.755        3.001       14.784
 2009.4274        1.776        0.700        4.363        3.894        3.086       15.293
 2009.4301        0.764        1.212        1.178        3.786        3.077       14.498
 2009.4329        0.907        2.122        3.782        3.858        3.070       14.552
 2009.4356        0.699       -0.468        2.242        3.805        2.981       14.602
 2009.4384        2.435        1.349        1.050        3.794        3.005       14.706
 2009.4411       -1.075        2.181       -2.366        3.765        3.012       14.444
 2009.4438        1.429        1.021        0.441        3.801        2.999       14.656
 2009.4466        1.336        2.121        0.252        3.773        3.017       14.276
 2009.4493        2.399       -0.135        4.710        3.770        2.976       14.503
 2009.4521        2.550       -0.866        1.004        3.794        3.048       14.673
 2009.4548        1.430        2.173        6.308        3.702        2.958       14.377
 2009.4575        1.001        1.136       -0.070        3.841        3.008       14.643
 2009.4603        1.967        1.772       10.674        3.789        3.030       14.551
 2009.4630       -0.308        1.572        4.649        4.035        3.389       15.701
 2009.4658       -0.143        0.614        1.888        3.873        3.096       14.667
 2009.4685        1.022       -1.274       -8.164        3.749        3.034       14.247
 2009.4712       -0.833       -0.684       -3.606        3.755        3.014       14.158
 2009.4740       -1.965        1.802        5.876        3.777        2.995       14.565
 2009.4767       -2.261        1.747        6.601        3.789        3.074       14.679
 2009.4795       -1.896       -1.353       -2.415        3.722        3.030       14.041
 2009.4822        1.604       -2.605       -6.122        3.780        3.044       14.561
 2009.4849        0.849       -1.153        1.787        3.781        3.111       14.729
 2009.4877       -0.122        1.769        2.489        3.760        3.134       14.499
 2009.4904       -1.320        1.728        6.330        3.764        3.062       14.712
 2009.4932        3.253        2.399       -3.187        3.829        3.182       14.663
 2009.4959        5.737       -1.636       -6.836        3.776        3.084       14.467
 2009.4986        4.734       -2.147      -16.136        3.755        3.006       14.337
 2009.5014        1.262       -0.481      -18.079        3.761        3.024       14.716
 2009.5041       -1.017       -0.767        1.308        3.728        3.046       14.126
 2009.5068       -0.099       -0.046       -9.901        3.859        3.057       14.493
 2009.5096       -0.421       -1.805       -7.900        4.016        3.174       15.334
 2009.5123       -0.329       -1.607       -1.349        3.884        3.039       14.757
 2009.5151        1.061       -2.298       -6.800        3.890        3.109       14.775
 2009.5178       -1.081       -0.150       -0.120        3.796        3.014       14.429
 2009.5205       -0.328       -0.739       -2.200        3.892        3.092       14.614
 2009.5233        2.393       -1.402      -18.846        3.931        3.061       14.854
 2009.5260        1.943       -3.904       -9.201        3.931        3.086       14.749
 2009.5288        1.206       -3.031      -11.242        3.876        3.056       14.861
 2009.5315       -1.404       -1.529        6.041        3.866        3.043       14.882
 2009.5342        0.047       -2.142       -0.945        3.828        3.063       14.432
 2009.5370       -0.748       -1.279       -0.524        3.867        3.051       14.560
 2009.5397        1.597       -1.476        0.870        3.858        3.098       14.738
 2009.5425       -0.177       -3.696        1.459        3.944        3.138       15.128
 2009.5452       -1.588        0.784       -7.979        3.881        3.109       14.855
 2009.5479        1.130       -1.744      -12.696        3.870        3.095       14.696
 2009.5507       -1.267       -1.794       -0.990        3.789        3.034       14.271
 2009.5534       -1.570       -0.066        9.544        3.798        3.043       14.555
 2009.5562       -1.568       -1.319        2.866        3.886        3.119       14.639
 2009.5589        0.305        2.376       -4.513        3.865        3.201       15.255
 2009.5616       -0.140       -0.475        3.169        3.860        3.092       14.963
 2009.5644       -1.083        0.351        0.915        3.911        3.075       15.296
 2009.5671       -0.504        0.662       -2.146        3.851        3.055       14.535
 2009.5699       -4.307        0.109       12.612        3.869        3.053       14.790
 2009.5726       -3.576       -2.702        2.818        3.886        3.053       14.741
 2009.5753       -0.086       -3.202       -3.942        3.920        3.138       14.968
 2009.5781        0.306       -2.510        1.037        3.901        3.046       14.966
 2009.5808       -1.684       -4.116       -0.532        3.931        3.057       14.841
 2009.5836       -1.410        0.858        1.902        3.814        3.065       14.567
 2009.5863       -0.620        0.149       -3.259        3.879        3.068       14.433
 2009.5890        0.900        0.000       -4.801        3.894        3.210       14.701
