      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 1994.3397        0.000        0.000       -0.000        3.332        2.338        9.842
 1994.3425        1.401        2.432       -2.364        3.331        2.335        9.815
 1994.3452       -0.325        0.230       -1.641        3.421        2.389       10.201
 1994.3479        1.808        3.570       -1.348        3.284        2.299        9.652
 1994.3507       -0.463        4.884       -2.981        3.271        2.303        9.782
 1994.3534        0.668        2.036       -3.955        3.460        2.307        9.841
 1994.3562       -1.496        1.599       -7.436        3.333        2.298        9.749
 1994.3589       -0.618        3.336       -0.067        3.274        2.296        9.547
 1994.3616        0.925        3.043        1.735        3.264        2.256        9.399
 1994.3644        0.796        1.903       -3.031        3.262        2.294        9.722
 1994.3671        1.114        2.580       -0.584        3.243        2.258        9.596
 1994.3699       -0.035        1.572        1.396        3.319        2.301        9.972
 1994.3726        0.406        1.756       -3.646        3.295        2.275        9.619
 1994.3753       -0.663        1.721        1.045        3.316        2.274        9.652
 1994.3781       -0.298        1.814       -2.061        3.314        2.342        9.814
 1994.3808       -1.770        3.673        3.276        3.260        2.231        9.482
 1994.3836       -2.998        1.453        0.402        3.296        2.257        9.557
 1994.3863       -2.122        1.230        3.662        3.321        2.306        9.818
 1994.3890       -0.863        0.503       -1.549        3.289        2.323        9.896
 1994.3918       -0.553        3.883        0.425        3.345        2.331        9.892
 1994.3945       -0.025        3.842       -2.336        3.289        2.286        9.593
 1994.3973       -1.255        1.608       -1.599        3.346        2.321        9.835
 1994.4000       -2.895        1.330       -0.162        3.217        2.253        9.562
 1994.4027       -1.551        2.665        2.638        3.302        2.283        9.612
 1994.4055       -3.047        1.049        1.474        3.295        2.297        9.650
 1994.4082       -2.609        0.412      -10.322        3.330        2.294        9.754
 1994.4110       -0.379        0.415       -5.154        3.232        2.242        9.503
 1994.4137       -1.512        2.497       -0.821        3.372        2.357        9.857
 1994.4164       -2.297        0.439       -2.363        3.344        2.271        9.627
 1994.4192       -1.875        1.205       -2.574        3.318        2.280        9.603
 1994.4219       -1.926        1.408       -5.910        3.354        2.321        9.838
 1994.4247       -0.325       -0.129       -1.599        3.332        2.359        9.953
 1994.4274       -3.410       -2.448        0.570        3.247        2.271        9.469
 1994.4301       -1.999        2.625       -2.865        3.291        2.264        9.569
 1994.4329        0.058        1.099       -1.553        3.313        2.262        9.544
 1994.4356       -1.868        0.490       -0.375        3.265        2.251        9.475
