      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2002.9041       -1.546        2.664       -4.904        3.750        2.570       11.878
 2002.9068       -0.600        2.357       -2.828        2.997        2.153        8.764
 2002.9096       -1.539        2.069       -1.812        2.929        2.042        8.499
 2002.9123       -1.031        3.107       -9.303        2.944        2.018        8.314
 2002.9151       -0.617        2.520       -5.326        2.935        2.038        8.372
 2002.9178       -0.912        2.927       -3.700        2.962        2.087        8.606
 2002.9205        0.577        5.541       -2.987        3.040        2.137        8.799
 2002.9233       -0.035        4.434       -0.377        3.107        2.196        8.961
 2002.9260        0.612        5.200        0.440        3.044        2.145        8.757
 2002.9288        0.876        5.593        2.262        3.792        2.796       11.773
 2002.9315       -0.618        0.377       -9.247        2.992        2.092        8.624
 2002.9342       -0.890        3.885       -2.340        2.979        2.141        8.740
 2002.9370       -2.300        3.728        0.738        2.982        2.111        8.679
 2002.9397       -2.536        2.598        6.858        2.999        2.170        8.876
 2002.9425       -3.261        1.619       -0.130        3.074        2.168        8.764
 2002.9452       -2.188       -1.063        6.870        2.967        2.091        8.568
 2002.9479       -0.103       -0.740        5.828        2.974        2.102        8.662
 2002.9507       -0.228        1.458        4.108        4.160        3.084       13.194
 2002.9534       -0.004        1.887       13.097        3.008        2.177        8.901
 2002.9562       -2.029       -1.000       12.707        3.200        2.296        9.385
 2002.9589       -1.044        0.073       10.153        3.062        2.155        8.786
 2002.9616       -0.161       -0.640        3.215        3.048        2.106        8.789
 2002.9644        1.567       -0.825       -3.922        3.270        2.281        9.424
 2002.9671        1.085        2.070        9.315        3.106        2.231        9.080
 2002.9699        2.218       -0.831       -2.519        3.128        2.190        9.126
 2002.9726        1.101        0.526       -1.772        2.971        2.097        8.573
 2002.9753        0.559       -0.323       -0.144        3.027        2.150        8.781
 2002.9781       -0.264        2.750        9.050        3.010        2.147        8.845
 2002.9808       -0.078       -1.029       -0.621        3.100        2.198        9.129
 2002.9836       -1.394        0.650        7.075        3.022        2.152        8.713
 2002.9863        0.633        1.123        5.144        3.071        2.253        9.108
 2002.9890        2.148        0.012        2.523        3.026        2.160        8.738
 2002.9918        1.637       -0.449        6.313        3.025        2.143        8.655
 2002.9945        0.558        0.259       -0.578        3.001        2.151        8.690
 2002.9973        0.100       -0.674        2.797        3.077        2.187        9.104
 2003.0000        1.116       -0.088       -0.075        3.008        2.167        8.776
 2003.0027       -0.278       -1.407       -0.628        3.015        2.139        8.723
 2003.0055        2.325        1.398        3.324        3.045        2.157        8.819
 2003.0082       -0.826        1.070        1.074        2.954        2.116        8.576
 2003.0110        1.489        0.800       -3.532        3.005        2.217        8.849
 2003.0137        0.852        0.880      -10.788        3.031        2.162        8.778
 2003.0164       -1.066       -0.902      -10.138        2.996        2.136        8.656
 2003.0192        2.936        2.566       -2.663        2.960        2.067        8.417
 2003.0219        2.795       -0.789        3.299        3.251        2.218        9.160
 2003.0247        1.524       -0.641       -0.979        3.024        2.150        8.682
 2003.0274        2.179       -0.198       -4.112        2.981        2.082        8.453
 2003.0301        1.125        0.872        4.976        2.965        2.093        8.482
 2003.0329        0.625        2.121        4.047        2.951        2.064        8.438
 2003.0356       -0.302       -1.352       -2.706        2.958        2.072        8.496
 2003.0384        0.402        6.280       -1.034        2.957        2.116        8.596
 2003.0411       -0.880        4.539       -1.502        3.017        2.155        8.651
 2003.0438       -0.634       -1.471       -8.909        2.941        2.085        8.481
 2003.0466       -0.960       -0.322        0.120        2.951        2.083        8.502
 2003.0493        0.185        4.678       -5.748        3.034        2.125        8.797
 2003.0521       -0.096        3.313       -2.255        2.942        2.086        8.486
 2003.0548        0.709       -3.139       -9.413        2.937        2.124        8.507
 2003.0575        1.515        1.991        1.120        2.929        2.090        8.437
 2003.0603       -0.556        2.279        7.123        3.112        2.135        8.788
 2003.0630        1.300        2.004        3.363        3.115        2.141        8.805
 2003.0658        1.494       -1.021        1.935        3.015        2.131        8.651
 2003.0685       -0.842       -1.505        4.509        3.005        2.154        8.736
 2003.0712        1.935        4.484        0.211        2.980        2.154        8.676
 2003.0740        2.358        4.887        1.956        3.075        2.202        9.058
 2003.0767        0.932        0.523       -4.460        2.995        2.109        8.603
 2003.0795        0.508       -0.659       -2.649        3.091        2.157        8.813
 2003.0822        0.702       -1.395       -3.068        3.062        2.177        8.876
 2003.0849        2.546        1.977        3.630        3.072        2.234        9.116
 2003.0877        1.254        2.614       -1.333        3.044        2.159        8.902
 2003.0904        1.853       -0.779       -6.072        3.684        2.556       10.277
 2003.0932        2.074        3.017       -1.341        3.051        2.206        8.893
 2003.0959        0.556        3.526       -1.991        2.953        2.109        8.587
 2003.0986        0.765        2.768       -2.518        3.024        2.177        8.871
 2003.1014        2.401        3.152       -3.547        3.011        2.171        8.758
 2003.1041        2.980        4.227        0.187        2.969        2.129        8.661
 2003.1068       -0.277        4.358        0.108        3.032        2.184        8.858
 2003.1096        1.992        5.084        1.951        3.021        2.218        8.945
 2003.1123        0.422       -0.641       -3.121        3.019        2.201        8.880
 2003.1151        3.621        4.251        6.194        3.018        2.186        8.873
 2003.1178        3.683        4.448        1.703        3.081        2.176        8.863
 2003.1233        1.974       -0.186       -3.285        2.982        2.128        8.682
 2003.1260       -0.146        4.864        8.960        2.985        2.144        8.783
 2003.1288        0.305        5.020        7.422        3.004        2.155        8.770
 2003.1315        0.265        1.163       -1.077        3.021        2.185        8.829
 2003.1342        3.249       -0.017        5.778        3.030        2.179        8.832
 2003.1370        3.028        0.407        5.464        2.889        2.044        8.379
 2003.1397        0.272        3.221       11.205        2.908        2.045        8.394
 2003.1425        1.058        0.965        0.491        2.933        2.089        8.585
 2003.1452        1.910        4.658        2.403        2.979        2.075        8.550
 2003.1479        2.216        0.759       -0.006        2.943        2.065        8.531
 2003.1507        1.258       -0.188       -1.860        2.913        2.051        8.379
 2003.1534        0.600        1.869        8.669        2.884        2.036        8.424
 2003.1562        1.848        4.250        7.337        3.057        2.121        9.045
 2003.1589        0.437        2.085        7.954        2.903        2.022        8.362
 2003.1616        0.505        0.727       -0.627        3.023        2.121        8.777
 2003.1644        0.944        1.981        2.005        3.006        2.121        8.736
 2003.1671        2.166        0.927        4.822        2.923        2.069        8.536
 2003.1699        1.009        0.933       10.153        2.954        2.127        8.741
 2003.1726        0.272        0.654       18.841        2.956        2.040        8.404
 2003.1753        0.991        1.815        4.771        2.950        2.025        8.500
 2003.1781        0.403       -1.439        7.942        2.968        2.101        8.800
 2003.1808        1.711        2.433        5.260        3.029        2.122        9.061
 2003.1836       -0.190        0.383       10.523        2.936        2.040        8.534
 2003.1863       -1.753        0.128        5.214        2.982        2.052        8.445
 2003.1890        2.254        2.442        6.953        2.886        2.004        8.219
 2003.1918       -1.403       -1.019        8.167        2.989        2.038        8.461
 2003.1945       -2.534        0.025       18.365        3.164        2.172        8.910
 2003.1973       -2.467       -1.979        9.760        3.027        2.098        8.775
 2003.2000       -0.813        1.251        7.102        3.015        2.091        8.753
 2003.2027       -1.901       -2.944        4.820        2.963        2.064        8.623
 2003.2055       -1.051       -3.424       -0.066        2.986        2.091        8.697
 2003.2082       -0.704        1.748       -0.978        2.960        2.074        8.613
 2003.2110        0.470       -2.248       -2.779        2.916        2.028        8.359
 2003.2137        0.274        0.870        1.779        2.953        2.062        8.533
 2003.2164       -1.664       -1.475        1.740        3.000        2.076        8.621
 2003.2192       -0.486       -0.820       -1.498        2.974        2.079        8.703
 2003.2219        1.298       -0.341       -2.797        2.929        2.047        8.479
 2003.2247       -1.631       -0.102        1.212        2.908        2.028        8.346
 2003.2274        0.464       -1.283       -1.894        2.995        2.115        8.742
 2003.2301        0.376       -0.433       -1.144        2.952        2.071        8.603
 2003.2329        1.161       -1.914       -8.047        3.039        2.108        8.882
 2003.2356        2.969       -0.335      -12.986        2.977        2.075        8.656
 2003.2384        3.914        2.145       -7.619        3.037        2.121        8.938
 2003.2411        0.271        1.028       -1.284        2.979        2.075        8.659
 2003.2438        1.644       -0.161        6.151        2.955        2.043        8.516
 2003.2466        2.184       -0.058        6.755        2.938        2.077        8.641
 2003.2493        0.181        0.795       13.429        2.894        2.035        8.366
 2003.2521        0.873       -1.001        4.825        2.988        2.066        8.586
 2003.2548        0.291        2.065        8.163        2.996        2.082        8.595
 2003.2575        3.005        2.465        4.127        2.907        2.026        8.320
 2003.2603        1.053        2.568        5.737        2.920        2.048        8.384
 2003.2630       -1.307        3.262        4.738        2.886        2.029        8.335
 2003.2658        0.841        0.808        6.738        2.906        2.039        8.460
 2003.2685        0.100        0.329        4.406        2.976        2.103        8.668
 2003.2712        1.081       -1.177        3.789        2.985        2.119        8.731
 2003.2740        0.362        0.621        3.799        2.914        2.037        8.366
 2003.2767        1.450       -2.337        2.576        2.893        2.016        8.229
 2003.2795       -0.049       -0.561        6.031        2.887        1.992        8.193
 2003.2822       -2.497       -0.407        5.433        2.907        1.994        8.256
 2003.2849        0.313       -0.623       -0.375        2.971        2.060        8.492
 2003.2877        0.219       -1.051       -0.181        2.887        1.996        8.273
 2003.2904       -0.165        0.122        7.288        2.892        2.013        8.333
 2003.2932        0.269       -1.030        6.836        2.857        2.004        8.234
 2003.2959        1.544       -1.388        1.681        2.951        2.036        8.378
 2003.2986        0.168        0.419        3.698        2.872        2.001        8.237
 2003.3014       -0.213       -0.988        0.607        2.954        2.029        8.535
 2003.3041       -0.281       -0.829        1.827        2.995        2.125        8.749
 2003.3068       -0.616       -0.663        2.155        2.907        2.032        8.327
 2003.3096       -0.862       -2.048        2.514        2.915        2.034        8.414
 2003.3123       -0.499       -1.622        2.456        2.900        2.018        8.399
 2003.3151        0.896       -1.381        1.352        2.887        2.063        8.491
 2003.3178        0.054        1.054        0.819        2.911        2.005        8.332
 2003.3205        0.522        1.049        0.637        2.958        2.073        8.531
 2003.3233        0.586        0.571        5.465        2.918        2.038        8.471
 2003.3260        0.512       -0.728       -1.003        3.016        2.085        8.784
 2003.3288       -0.821       -0.821       -0.729        3.044        2.105        8.779
 2003.3315        0.405        0.816       -3.571        3.097        2.165        8.911
 2003.3342       -0.668        0.488        3.632        2.950        2.042        8.400
 2003.3370       -0.049       -1.618       -0.248        2.923        2.040        8.425
 2003.3397        1.327       -0.002        4.014        2.953        2.054        8.508
 2003.3425        0.353       -1.741       -4.845        2.944        2.028        8.379
 2003.3452       -2.034       -2.053       -2.557        2.958        2.055        8.579
 2003.3479       -0.975        2.821        2.483        2.994        2.070        8.526
 2003.3507       -1.164       -1.004       -3.638        3.015        2.069        8.618
 2003.3534       -2.183        1.938       -0.988        2.965        2.035        8.498
 2003.3562       -1.251        2.118        6.319        2.929        2.038        8.407
 2003.3589       -1.937       -2.312        0.569        2.930        2.060        8.464
 2003.3616       -2.058        1.670        2.617        2.933        2.035        8.441
 2003.3644       -1.556        3.072        6.258        2.949        2.031        8.483
 2003.3671       -1.356        3.755        3.483        2.960        2.077        8.627
 2003.3699       -2.670        1.984        6.026        2.951        2.061        8.474
 2003.3726        1.356       -0.497       -5.286        2.984        2.089        8.638
 2003.3753       -0.223        3.750       -1.137        2.928        2.063        8.469
 2003.3781       -2.453        2.132       -7.959        2.914        2.067        8.484
 2003.3808        0.128        1.865       -0.742        2.962        2.046        8.580
 2003.3836        0.333        2.838       11.416        5.188        3.636       14.200
 2003.3863       -0.519        0.984        8.868        2.975        2.084        8.661
 2003.3890       -0.175        1.543        3.846        2.935        2.083        8.566
 2003.3918       -0.764        2.756        3.078        2.931        2.069        8.522
 2003.3945       -1.073       -1.192        0.254        2.960        2.069        8.598
 2003.3973        0.345       -0.101       -1.656        2.928        2.002        8.291
 2003.4000        0.052        0.902        0.009        3.022        2.121        8.861
 2003.4027       -1.533        1.221        5.844        3.036        2.138        9.005
 2003.4055       -3.905        0.597        1.386        3.102        2.231        9.436
 2003.4082       -2.508       -0.890       -1.686        3.089        2.220        9.113
 2003.4110        0.577        0.802       11.865        2.947        2.046        8.508
 2003.4137       -2.254        0.795        1.425        2.957        2.061        8.563
 2003.4164       -2.084        1.961       -0.482        3.051        2.086        8.737
 2003.4192       -0.563        0.753       -0.261        3.035        2.109        8.670
 2003.4219       -0.050        2.402        1.640        3.013        2.067        8.562
 2003.4247       -2.842        1.494        6.526        3.024        2.078        8.670
 2003.4274       -1.463        0.076        6.643        3.056        2.119        8.748
 2003.4301       -0.196        1.877        3.852        2.993        2.055        8.523
 2003.4329       -1.090        0.801       -2.585        3.020        2.059        8.612
 2003.4356       -1.319       -0.097        4.422        3.041        2.048        8.609
 2003.4384       -1.647        0.915        8.199        2.937        2.029        8.467
 2003.4411       -1.375        1.267        7.088        2.941        2.027        8.491
 2003.4438        0.040        2.137        7.142        3.038        2.071        8.701
 2003.4466       -2.128        0.103       11.258        2.998        2.039        8.482
 2003.4493        0.033       -0.271        6.342        2.911        2.073        8.623
 2003.4521        0.098        0.713       -1.345        2.897        2.024        8.379
 2003.4548        1.656        0.366       -2.888        2.925        2.052        8.616
 2003.4575       -0.667        0.031        2.608        2.981        2.086        8.791
 2003.4603       -2.500        1.168        2.556        2.969        2.067        8.722
 2003.4630       -2.191        1.559        1.553        2.964        2.062        8.676
 2003.4658       -0.726       -0.744        1.584        2.926        2.030        8.536
 2003.4685       -2.107        1.030        4.912        2.969        2.091        8.789
 2003.4712        0.031       -0.704        2.626        2.995        2.095        8.800
 2003.4740       -1.041        0.029        6.443        2.985        2.084        8.751
 2003.4767       -0.791        2.182       -0.047        2.959        2.127        8.787
 2003.4795       -2.430        1.492        4.414        3.001        2.083        8.833
 2003.4822       -2.347        1.700       -2.479        2.952        2.081        8.786
 2003.4849       -0.681        2.218        0.193        3.046        2.137        9.040
 2003.4877       -0.956        3.486       -4.429        2.973        2.088        8.849
 2003.4904        0.084        1.067        4.115        3.011        2.089        8.867
 2003.4932       -2.404        2.422        3.177        2.987        2.099        8.863
 2003.4959       -2.004       -2.102       -3.016        2.954        2.054        8.567
 2003.4986        0.432        1.303       -7.209        2.941        2.071        8.598
 2003.5014       -1.522       -0.730       -0.364        2.988        2.107        8.850
 2003.5041       -1.235        1.807        0.058        3.114        2.171        9.203
