      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2006.0466       -2.664       -1.847       -2.869        3.578        2.396        9.333
 2006.0493        3.876        0.001        6.234        3.266        2.195        8.904
 2006.0548        0.211       -1.559        3.068        2.890        1.968        7.873
 2006.0575        1.093       -1.277        6.682        2.885        1.966        7.851
 2006.0603        1.360       -1.329        0.495        2.894        1.974        7.901
 2006.0630        1.331        0.224        4.576        2.924        2.021        7.980
 2006.0658        2.695       -2.130        3.036        2.853        1.956        7.995
 2006.0685        0.916        0.803        7.892        2.797        1.907        7.622
 2006.0712        1.116        0.004        6.174        2.775        1.893        7.493
 2006.0740        0.712        0.265        8.120        2.807        1.907        7.683
 2006.0767       -2.451        0.055        4.705        2.802        1.906        7.689
 2006.0795       -1.290       -0.256        6.706        2.790        1.896        7.553
 2006.0822       -1.910        0.010        4.974        2.827        1.909        7.734
 2006.0849       -2.593       -0.086        9.361        2.792        1.893        7.608
 2006.0877       -5.278       -2.450       -3.940        3.528        2.316        9.295
 2006.0932       -2.405       -1.463        3.185        2.803        1.891        7.626
 2006.0959       -2.455        0.954        4.158        2.800        1.897        7.627
 2006.0986       -3.015        1.698       -2.369        2.828        1.893        7.665
 2006.1014       -1.962       -0.958        3.723        2.817        1.904        7.718
 2006.1041       -0.760        0.912       -4.596        2.801        1.896        7.613
 2006.1068       -2.511        2.433       -4.088        2.882        1.921        7.762
 2006.1096       -0.548        0.828       -0.957        2.964        1.962        7.814
 2006.1123       -2.901        1.689       -5.183        2.837        1.918        7.827
 2006.1151       -1.011        1.680       -3.194        2.804        1.887        7.621
 2006.1178       -1.672        1.473       -4.304        2.830        1.910        7.716
 2006.1205       -2.130        1.055        0.455        2.828        1.898        7.665
 2006.1233       -0.855        1.526       -1.038        2.821        1.901        7.680
 2006.1260        0.878        2.997       -4.052        2.836        1.890        7.715
 2006.1288        2.361        1.766       -2.786        2.813        1.885        7.617
 2006.1315       -0.716        3.178       -1.890        2.842        1.896        7.786
 2006.1342       -2.174        1.863       -0.573        2.832        1.902        7.761
 2006.1370       -1.879        0.820        0.891        2.835        1.890        7.713
 2006.1397       -2.070        0.338       -4.806        2.836        1.898        7.730
 2006.1425        0.799       -0.098       -2.834        2.838        1.899        7.700
 2006.1452       -0.534        1.909       -0.077        2.826        1.896        7.665
 2006.1479        0.352        2.077        1.830        2.819        1.892        7.625
 2006.1507       -0.016        2.895       -0.610        2.832        1.904        7.691
 2006.1534        2.809       -0.099        7.178        2.822        1.893        7.642
 2006.1562       -1.164       -0.065        2.232        2.824        1.908        7.695
 2006.1589       -1.610        0.010        4.905        2.879        1.915        7.720
 2006.1616        0.193        0.532        6.584        2.985        1.950        8.032
 2006.1644        0.413        0.181        1.354        2.818        1.891        7.615
 2006.1671       -0.472        1.134        6.777        2.881        1.898        7.708
 2006.1699        0.125        1.888       -0.975        2.818        1.894        7.661
