      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2009.3479       -1.214        2.274        8.370        3.221        2.374       11.950
 2009.3507        0.299        2.230        2.204        3.285        2.397       12.002
 2009.3534        0.299        1.507        9.263        3.285        2.439       12.194
 2009.3562        0.746        0.529       -5.526        3.265        2.386       12.088
 2009.3589        0.467       -0.433        3.480        3.369        2.419       12.379
 2009.3616        2.362        3.574        0.129        3.273        2.410       12.135
 2009.3644        2.084        1.643       -7.155        3.309        2.387       12.209
 2009.3671        1.854        1.009        7.132        3.313        2.395       12.381
 2009.3699        1.527       -0.343        8.694        3.261        2.361       12.203
 2009.3726        0.548       -0.022        6.637        3.264        2.420       12.087
 2009.3753        1.367       -1.912        6.769        3.306        2.406       12.429
 2009.3781        1.404       -0.258        1.946        3.350        2.485       12.602
 2009.3808        1.490       -0.174       -4.405        3.279        2.464       12.277
 2009.3836       -0.420       -1.735        8.197        3.267        2.416       12.372
 2009.3863        1.124       -0.945        5.603        3.222        2.417       12.094
 2009.3890        1.790       -2.159        0.661        3.279        2.407       12.141
 2009.3918        0.905       -1.219        3.237        3.314        2.426       12.341
 2009.3945       -1.013       -0.422        7.287        3.308        2.435       12.201
 2009.3973        0.795       -0.947        9.479        3.329        2.479       12.279
 2009.4000        1.117       -2.289       14.222        3.335        2.449       12.526
 2009.4027        0.399       -1.323       10.206        3.309        2.431       12.383
 2009.4055        0.491       -0.922        7.641        3.303        2.460       12.382
 2009.4082        0.268       -0.474        5.143        3.283        2.464       12.651
 2009.4110        1.172       -0.828        8.969        3.281        2.439       12.005
 2009.4137       -0.268       -0.696        8.288        3.321        2.509       12.592
 2009.4164        0.440       -1.793       12.072        3.279        2.457       12.609
 2009.4192        1.373        0.470        5.340        3.302        2.453       12.761
 2009.4219        0.430       -2.049        1.652        3.350        2.551       13.119
 2009.4247        0.211       -0.948        6.370        3.351        2.580       13.204
 2009.4274        1.760       -1.217       14.639        3.457        2.570       12.905
 2009.4301       -1.033       -2.406       14.436        3.339        2.521       12.797
 2009.4329        1.219        0.787        8.776        3.353        2.522       12.961
 2009.4356        0.929       -0.968        6.215        3.332        2.476       12.834
 2009.4384        3.153        0.594        1.287        3.363        2.520       12.777
 2009.4411        0.002        0.164        9.572        3.359        2.489       12.770
 2009.4438        1.519       -1.267        8.562        3.367        2.539       12.786
