      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.8743        0.739        0.293        4.606        2.815        2.047        8.543
 2004.8770       -0.285        1.169        2.399        2.794        2.006        8.274
 2004.8798        1.666        0.236       -7.417        2.873        2.082        8.778
 2004.8825        0.282        2.956      -11.354        2.895        2.094        8.683
 2004.8852        1.710        2.864       -4.659        2.809        2.033        8.434
 2004.8880        2.645        1.701        4.287        2.879        2.071        8.659
 2004.8907        2.098        1.380       -0.094        2.916        2.149        9.117
 2004.8934        0.748        1.606        4.874        2.899        2.056        8.593
 2004.8962        0.488        0.862        8.633        2.905        2.088        8.824
 2004.8989       -0.400        0.210        9.533        2.842        2.076        8.649
 2004.9016        2.238        0.804        0.134        2.764        2.025        8.392
 2004.9044        1.614       -0.196        4.952        2.766        2.025        8.421
 2004.9071        1.514        0.860       -4.245        2.744        2.015        8.341
 2004.9098       -0.132        0.262        0.892        2.786        2.037        8.556
 2004.9126        1.220        0.813       -1.408        2.793        2.017        8.474
 2004.9153        0.431        0.276       -3.342        2.912        2.051        8.729
 2004.9180        1.241       -1.107        2.717        2.897        2.056        8.687
 2004.9208        1.842        1.818        8.452        2.855        2.037        8.678
 2004.9235        3.277        0.638        7.809        2.765        2.007        8.405
 2004.9262        2.266        0.180        7.183        2.759        2.005        8.316
 2004.9290        1.021       -1.379        7.457        2.793        2.043        8.519
 2004.9317       -0.102       -1.188       14.174        3.544        2.515       10.262
 2005.0767        1.172        1.494       -0.405        4.323        3.242       14.318
 2005.0795        0.895       -0.272        3.054        2.940        2.132        9.227
 2005.0822        1.034        1.240        3.390        2.963        2.131        9.209
 2005.0849        1.728        1.821        0.618        2.956        2.141        9.251
 2005.0877        2.768        1.284        3.821        2.949        2.107        9.146
 2005.0904        1.073        3.434        4.200        3.044        2.132        9.407
 2005.0932        1.729       -0.233        3.788        2.939        2.119        9.158
 2005.0959        1.794       -1.521        0.697        2.899        2.087        8.972
 2005.0986        0.514       -4.246        0.070        3.037        2.200        9.485
 2005.1014       -1.404       -0.105       -7.428        2.956        2.085        9.134
 2005.1041        0.795        0.832       -3.669        3.011        2.142        9.256
 2005.1068       -0.813       -0.593        1.121        3.015        2.131        9.166
 2005.1096       -1.656       -1.749       -0.061        2.968        2.075        9.153
 2005.1123       -1.994       -1.525        5.101        2.931        2.067        9.032
