      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2002.3507        3.552       -2.023      -15.261        2.834        2.023        8.167
 2002.3534        2.128       -1.212      -10.683        2.896        2.055        8.340
 2002.3562        0.825       -0.637       -9.109        2.889        2.075        8.439
 2002.3589        2.202       -0.456      -13.474        2.897        2.083        8.472
 2002.3616        0.330        1.184      -16.414        2.862        2.090        8.388
 2002.3644       -1.402       -2.851       -5.472        2.886        2.081        8.474
 2002.3671        1.086       -0.218      -18.836        2.850        2.061        8.335
 2002.3699        0.300       -1.894       -8.917        2.858        2.042        8.288
 2002.3726        0.626       -2.009      -11.719        2.925        2.042        8.345
 2002.3753        1.328        1.032      -11.941        2.871        2.079        8.365
 2002.3781        1.005       -1.533       -9.345        2.873        2.050        8.276
 2002.3808        0.914        0.177       -7.884        2.879        2.040        8.284
 2002.3836       -1.756       -0.097      -10.063        2.867        2.037        8.263
 2002.3863        2.331        0.293       -7.687        2.912        2.069        8.425
 2002.3890        1.314       -1.346       -7.091        2.937        2.069        8.492
 2002.3918        0.312       -0.027       -6.570        2.874        2.093        8.406
 2002.3945        0.116        1.766      -10.265        2.882        2.071        8.457
 2002.3973        1.605        0.319      -13.056        2.904        2.059        8.441
 2002.4000       -0.234        1.026       -2.113        2.918        2.071        8.515
 2002.4027       -3.077       -0.961      -12.040        2.907        2.066        8.443
 2002.4055       -3.298       -1.255       -2.365        2.907        2.069        8.437
 2002.4082       -2.444        0.242       -0.603        2.909        2.076        8.526
 2002.4110        0.531       -1.056       -8.685        2.958        2.110        8.643
 2002.4137        1.365        0.379      -11.046        2.967        2.126        8.695
 2002.4164       -0.720       -0.267       -3.064        2.959        2.099        8.706
 2002.4192        0.534        1.721       -7.780        2.907        2.084        8.527
 2002.4219        0.525        0.211       -6.463        2.905        2.108        8.621
 2002.4247        1.399       -0.146       -5.150        2.972        2.138        8.830
 2002.4274        1.545       -3.259        2.273        2.950        2.105        8.536
 2002.4301        0.298       -1.157       -8.050        2.965        2.159        8.776
 2002.4329        1.214        1.324       -6.939        2.919        2.099        8.523
 2002.4356        0.548       -1.169        0.259        2.915        2.131        8.731
 2002.4384       -2.044        1.105       -1.696        2.960        2.155        8.930
 2002.4411        1.438       -0.907       -9.675        2.937        2.159        8.806
 2002.4438        0.951       -1.990       -7.631        2.974        2.223        9.126
 2002.4466        1.315       -1.860       -0.292        2.973        2.226        9.128
 2002.4493       -1.824        1.481       -8.729        2.995        2.245        9.249
 2002.4521       -0.455       -0.279       -0.602        2.892        2.117        8.610
 2002.4548       -0.604        0.034       -7.690        2.922        2.116        8.621
 2002.4575       -2.001       -1.688        3.556        2.933        2.160        8.843
 2002.4603       -1.137       -1.386       -7.978        2.931        2.150        8.725
 2002.4630       -0.133        1.454        0.150        2.894        2.185        8.847
 2002.4658        1.671       -0.719       -1.569        2.949        2.133        8.887
 2002.4685        0.267        0.461       -1.713        2.997        2.179        8.956
 2002.4712        0.729        3.381        2.196        2.978        2.164        8.965
 2002.4740        1.950        2.320       -0.977        2.954        2.102        8.709
 2002.4767       -0.549       -1.030       -0.997        2.923        2.102        8.625
 2002.4795        1.941        0.820       -1.907        2.937        2.084        8.670
 2002.4822       -1.099       -0.843        6.631        3.056        2.314        9.442
 2002.4849       -2.214       -2.058        7.669        3.131        2.367        9.802
 2002.4877       -2.878       -3.384       -7.605        2.980        2.199        9.026
 2002.4904       -3.603       -1.099      -12.909        2.930        2.141        8.770
 2002.4932        0.048       -0.652       -2.902        2.947        2.206        9.113
 2002.4959        0.585       -1.213       -4.205        2.973        2.215        9.097
 2002.4986       -1.106       -0.503       -5.543        2.948        2.138        8.790
 2002.5014        0.017       -0.430       -3.915        2.948        2.198        8.934
 2002.5041       -0.222       -0.431       -4.063        2.931        2.164        8.889
 2002.5068       -0.819       -0.171       -3.180        2.924        2.129        8.757
 2002.5096       -1.753       -0.440       -1.838        2.947        2.101        8.707
 2002.5123       -1.616       -2.019        0.958        2.958        2.113        8.751
 2002.5151       -1.808        0.275       -3.452        3.000        2.134        8.953
 2002.5178       -1.456        0.234       -9.338        3.036        2.269        9.287
 2002.5205       -3.172        1.209       -6.106        3.021        2.109        8.852
 2002.5233       -0.571        1.258       -2.377        3.008        2.099        8.915
 2002.5260       -2.226       -1.150       -6.303        3.133        2.156        9.034
 2002.5288        0.162       -0.109       -5.083        2.998        2.128        9.054
 2002.5315       -2.131       -1.532        4.907        2.980        2.091        8.833
 2002.5342        0.661       -0.350        0.484        3.029        2.182        9.060
 2002.5370       -1.193        0.306       -2.427        2.991        2.084        8.822
 2002.5397       -0.821       -2.563        0.154        2.996        2.124        8.958
 2002.5425        0.032        1.211        1.884        3.182        2.192        9.025
 2002.5452       -1.089        0.347        2.170        3.028        2.138        8.832
 2002.5479       -0.944       -0.774       -2.971        2.977        2.096        8.778
 2002.5507       -3.225        0.741       -4.056        2.937        2.091        8.636
 2002.5534       -1.151        0.763       -5.123        2.961        2.095        8.732
 2002.5562       -0.510       -0.224       -5.581        2.998        2.153        8.935
 2002.5589       -2.839        0.396       -6.790        2.954        2.147        8.868
 2002.5616       -3.178        0.809       -2.670        2.984        2.097        8.772
 2002.5644       -0.866        2.352       -4.594        3.004        2.159        9.029
 2002.5671       -1.192       -0.896       -0.436        2.962        2.091        8.735
 2002.5699        0.416       -2.050        3.526        2.973        2.132        8.921
 2002.5726       -0.794        0.161        1.971        2.958        2.138        8.903
 2002.5753        1.532       -0.962        1.331        2.977        2.122        8.885
 2002.5781       -1.452        0.457        0.445        2.916        2.093        8.577
 2002.5808        1.083        0.162       -5.672        2.931        2.085        8.651
