      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 1993.7616       -0.000        0.000       -0.000        7.232        4.807       19.820
 1993.7644       -1.365        1.645       -4.845        3.084        2.184        8.657
 1993.7671       -0.132        1.502       -7.097        3.135        2.219        8.892
 1993.7699        1.881        3.187       -6.813        3.224        2.400        9.655
 1993.7726        3.697        1.815        1.778        3.097        2.220        8.818
 1993.7753       -0.025        1.603       -0.923        3.158        2.270        9.167
 1993.7781        0.935        1.300       -0.252        3.120        2.222        8.958
 1993.7836        3.436        1.462        1.496        3.053        2.249        8.913
 1993.7863        3.255        4.221        4.387        5.289        3.404       14.625
 1993.7890        4.168        4.311        8.039        3.119        2.257        8.939
 1993.7918       -0.044        0.171       17.400        3.124        2.207        8.745
 1993.7945        0.983        1.986       10.857        3.118        2.229        8.812
 1993.7973        3.105        0.061        7.854        3.124        2.255        8.830
 1993.8000        5.208        4.853        9.422        3.161        2.287        8.981
 1993.8027        2.445        1.063        9.986        3.198        2.330        9.134
 1993.8055       -0.813        0.033       12.642        3.178        2.276        9.054
 1993.8082        2.343        0.991       11.059        3.162        2.262        8.998
 1993.8110        3.043        0.779        5.965        3.162        2.261        8.979
 1993.8137        6.032        3.308       -2.950        3.172        2.252        8.952
 1993.8164        3.689        3.397        0.979        3.118        2.226        8.789
 1993.8192        2.695       -1.824        7.334        3.405        2.489       10.125
 1993.8219        6.145       -3.935        5.155        3.225        2.388        9.417
 1993.8247       -0.268       -1.206        8.087        3.196        2.352        9.395
 1993.8274        2.803       -1.572        5.836        3.067        2.237        8.743
 1993.8301        4.057        0.425        0.983        3.165        2.253        8.976
 1993.8329        2.521        0.133        1.450        3.166        2.306        9.013
 1993.8356        2.661        2.502        2.592        3.109        2.267        8.849
 1993.8384        0.993        2.503       12.801        3.328        2.513       10.030
 1993.8411        5.860       -0.278        1.442        3.612        2.752       11.273
 1993.8438        1.105        0.802        3.060        3.396        2.425        9.754
 1993.8466        2.498       -1.278        1.123        3.303        2.340        9.429
 1993.8493        1.979        2.613        1.013        3.468        2.501        9.730
 1993.8521        0.737        2.903        2.453        3.413        2.444        9.950
 1993.8548       -0.278        0.296        0.037        3.434        2.422        9.665
 1993.8575        3.060       -2.754       -0.765        3.368        2.338        9.248
 1993.8603        2.067       -1.544        9.254        3.280        2.312        9.171
 1993.8630        2.402       -0.774        8.226        3.301        2.327        9.250
 1993.8658        2.926       -2.205       -0.719        3.243        2.315        9.143
 1993.8685       -0.989       -1.249        4.113        3.248        2.293        9.117
 1993.8712        1.534       -0.701        5.907        3.310        2.291        9.153
 1993.8740        1.437        0.259        2.178        3.301        2.266        9.060
 1993.8767        3.177        2.057       -0.820        3.253        2.250        9.008
 1993.8795        2.735        0.105       -1.291        3.322        2.290        9.202
 1993.8822        3.940        1.595        1.719        3.289        2.293        9.231
 1993.8849        0.388       -4.044        3.788        3.251        2.247        9.043
 1993.8904        4.333       -1.584       -6.583        3.261        2.235        9.124
 1993.8932        2.333       -1.700        0.841        3.198        2.253        8.865
 1993.8959        4.628       -0.739       -4.438        3.167        2.218        8.908
 1993.8986        2.099       -0.824       -6.393        3.153        2.221        8.889
 1993.9014        2.486       -1.320       -1.503        3.198        2.210        8.848
 1993.9041        0.159       -2.927        1.087        3.167        2.218        8.892
 1993.9068        1.390       -3.847        0.595        3.282        2.308        9.304
 1993.9123        1.222        0.436        2.069        3.250        2.263        9.209
 1993.9151       -1.395       -2.007       -0.915        3.399        2.433        9.513
 1993.9178       -0.687       -1.695        3.145        3.391        2.379        9.603
 1993.9205        1.655       -1.023        5.747        3.302        2.330        9.423
 1993.9233        5.701        1.055        1.318        3.173        2.217        8.951
 1993.9260        2.886       -0.971       -2.039        3.133        2.201        8.878
 1993.9288        0.433        3.998        6.664        3.236        2.304        9.231
 1993.9315        5.345       -2.711        1.685        3.139        2.200        8.985
 1993.9342       -0.209       -1.445        8.543        3.277        2.223        9.144
 1993.9370        0.158       -5.865        6.378        3.169        2.201        8.884
 1993.9397        4.683        0.797       13.244        3.077        2.219        8.798
 1993.9425       -0.818       -1.264        6.609        3.246        2.240        8.938
 1993.9452       -1.128        0.807        8.462        3.327        2.233        8.920
 1993.9479        2.916       -2.609        1.584        3.043        2.163        8.689
 1993.9507       -0.920       -2.911        3.292        3.008        2.163        8.532
 1993.9534       -1.089       -2.163        0.662        3.120        2.221        8.717
 1993.9562        0.192       -2.746       -2.445        3.100        2.208        8.974
 1993.9589       -0.210       -3.032       -1.863        3.145        2.203        9.002
 1993.9616        0.903       -2.249       -5.446        3.113        2.143        8.707
 1993.9644        2.384       -3.826       -5.682        3.146        2.186        8.861
 1993.9699        2.430       -2.141       -5.621        3.061        2.164        8.648
 1993.9726       -0.706       -2.213       -2.724        3.130        2.184        8.831
 1993.9753        1.527       -3.346       -4.927        3.158        2.243        9.109
 1993.9781        0.240       -1.722        0.382        3.273        2.335        9.379
 1993.9808        1.987       -3.133       -4.304        3.867        2.745       10.781
 1993.9836       -0.454       -3.032       -3.245        3.596        2.626       10.413
 1993.9863       -0.482       -5.314        2.287        3.150        2.254        9.225
 1993.9890        4.279       -0.514        0.879        3.199        2.268        9.275
 1993.9918       -1.716       -1.459       -0.371        3.194        2.267        9.248
 1993.9945       -1.574       -4.375        2.510        3.129        2.243        9.186
 1993.9973       -4.353       -4.963       -4.967        3.207        2.290        9.516
 1994.0000       -1.374       -5.756        3.614        3.134        2.240        9.158
 1994.0027       -2.343       -4.569        7.941        6.281        3.922       16.679
 1994.0055       -1.436       -0.420        9.614        3.115        2.287        9.326
 1994.0082       -0.020       -2.625        0.074        3.096        2.190        8.916
 1994.0110       -3.330        0.232       -1.856        3.124        2.196        8.919
 1994.0137       -3.716       -2.010      -11.717        3.232        2.260        9.255
 1994.0164       -4.558       -2.302       -3.520        3.289        2.294        9.306
 1994.0192       -2.850       -0.383       -3.561        3.114        2.197        9.010
 1994.0219       -2.466       -0.459       -3.226        3.095        2.231        9.062
 1994.0247       -1.750       -1.528       -7.055        3.130        2.267        9.213
 1994.0301        0.386       -4.463       -7.943        3.230        2.248        9.371
 1994.0356        0.707       -4.499       -5.616        4.563        3.630       14.335
 1994.0384        3.151        0.103        0.514        3.232        2.261        9.437
