      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.9235       -0.247       -0.542       13.090        4.421        3.900       17.656
 2004.9262       -2.816        0.096        8.698        4.272        3.765       16.917
 2004.9290       -2.305        0.577       -5.114        4.461        3.785       17.483
 2004.9317       -0.172       -0.156        9.313        4.485        3.823       17.577
 2004.9344        1.167       -0.428        2.194        4.448        3.820       17.229
 2004.9372        1.671        0.395        9.080        4.298        3.806       16.946
 2004.9399        1.589        1.861       -0.808        4.503        3.941       17.841
 2004.9426        3.358        2.141       -6.314        4.347        3.749       17.313
 2004.9454        1.302       -0.699        3.343        4.392        3.761       17.257
 2004.9481       -0.840       -4.562       17.224        4.354        3.802       17.367
 2004.9508        0.878       -0.861        1.791        4.606        3.869       17.945
 2004.9536       -2.375        0.212        7.946        4.504        3.885       17.552
 2004.9563        0.011       -0.822       -4.523        4.393        3.834       17.377
 2004.9590       -1.627        1.136       -1.500        4.358        3.905       17.603
 2004.9617       -0.502       -1.527       10.592        4.380        3.897       17.380
 2004.9645       -1.521       -5.547        6.867        4.413        3.800       17.239
 2004.9672       -0.913       -2.977       -5.205        4.375        3.745       17.027
 2004.9699       -0.812       -1.183       -1.243        4.367        3.891       17.650
 2004.9727        2.675        1.210       -5.279        4.401        3.860       17.583
 2004.9754        0.672        2.072      -11.590        4.265        3.777       17.040
 2004.9781       -2.665       -4.833        5.547        4.347        3.803       17.132
 2004.9809       -0.681       -4.663       14.873        4.377        3.817       17.244
 2004.9836        0.680       -0.903        4.145        4.482        3.957       17.355
 2004.9863       -0.044       -1.809       -3.719        4.520        3.912       17.594
 2004.9891        1.446       -1.405       -8.599        4.557        4.032       17.975
 2004.9918       -0.118       -2.313        0.942        4.478        3.932       17.424
 2004.9945       -0.377       -3.091        8.069        4.506        3.893       17.363
 2004.9973        0.101       -0.364        8.816        4.589        3.990       17.659
 2005.0000       -0.983        0.079       -4.448        4.563        3.991       18.018
 2005.0027        0.652       -1.104        9.412        4.617        4.025       18.135
 2005.0055        0.886       -0.717       -1.340        4.444        3.803       17.352
 2005.0082        1.501       -1.888       -0.025        4.341        3.818       17.057
 2005.0110        1.710       -1.220       -6.229        4.364        3.783       17.114
 2005.0137        2.015       -1.976       -2.550        4.510        3.989       17.704
 2005.0164        1.119       -1.834        5.537        4.395        3.860       17.346
 2005.0192        1.717       -3.672       -3.637        4.300        3.773       17.276
 2005.0219        3.052        3.806      -13.854        4.282        3.767       17.120
 2005.0247        2.061       -0.760       -1.502        4.248        3.706       16.805
 2005.0274       -0.601        0.772       -5.640        4.145        3.674       16.665
 2005.0301        1.749       -3.663       15.715        4.568        3.934       18.205
 2005.0329        1.086        0.400       -8.321        4.347        3.775       17.165
 2005.0356        0.875       -1.064      -17.773        4.145        3.650       16.330
 2005.0384        1.250       -2.805        0.258        4.170        3.660       16.473
 2005.0411        2.176       -0.705       -8.237        4.244        3.771       16.813
 2005.0438        2.071        0.834        1.680        4.516        4.043       18.155
 2005.0466       -0.126       -1.710       10.354        4.693        4.059       18.431
 2005.0493        0.260        1.386        2.630        4.691        4.149       18.648
 2005.0521        0.937       -0.107        3.760        4.535        4.089       18.170
 2005.0548        3.232       -1.929        9.468        4.398        3.888       17.370
 2005.0575       -2.300       -3.266       10.905        4.564        4.033       18.193
 2005.0603       -0.382       -4.188       14.703        4.464        4.002       17.873
 2005.0630       -0.286       -3.379       10.055        4.518        3.959       18.015
 2005.0658        1.605       -1.383       -2.030        4.298        3.927       17.072
 2005.0685        2.038       -3.726        8.774        4.391        3.944       17.506
 2005.0712        0.303       -5.117        5.275        4.430        3.873       17.331
 2005.0740       -0.624       -5.382       -0.921        4.430        3.973       17.777
 2005.0767        0.419       -1.726        1.680        4.414        3.926       17.570
 2005.0795        1.548       -3.987        2.886        4.523        3.942       17.991
 2005.0822        2.014       -0.742       -1.397        4.437        3.955       17.563
 2005.0849        0.996       -1.597       -3.624        4.398        3.856       17.360
 2005.0877        0.879       -5.799       10.204        4.566        3.894       17.929
 2005.0904        2.254        0.444        3.434        4.563        3.991       17.953
 2005.0932       -1.237       -3.355        2.795        4.441        3.895       17.583
 2005.0959        0.862       -0.571       -2.098        4.565        3.813       17.712
 2005.0986       -0.267       -1.147        7.073        4.406        3.799       17.302
 2005.1014       -0.815       -2.646       -7.334        4.355        3.810       17.136
 2005.1041       -0.423       -1.753       -6.079        4.505        3.736       17.887
 2005.1068        3.826       -2.072       -4.753        4.471        3.790       17.877
 2005.1096       -1.049       -3.233        1.994        4.363        3.726       17.151
 2005.1123       -1.198       -5.156        2.575        4.339        3.680       17.106
 2005.1151       -4.140       -3.750        2.075        4.321        3.784       16.987
 2005.1178       -3.162       -4.974       12.159        4.331        3.678       17.010
 2005.1205       -2.536       -5.088        2.702        4.318        3.717       17.221
