      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.8005       -2.099       -0.816        5.877        2.749        1.922        7.408
 2004.8033       -0.354        2.064        7.085        2.740        1.917        7.442
 2004.8060        0.048        0.651        7.492        2.728        1.913        7.423
 2004.8087       -0.176        0.486        2.976        2.758        1.928        7.494
 2004.8115       -2.271        1.460        7.942        2.661        1.884        7.264
 2004.8142       -1.593        0.071        6.892        2.673        1.881        7.297
 2004.8169       -0.552        1.007        6.609        2.786        1.958        7.590
 2004.8197       -1.190       -0.540       -3.368        2.716        1.934        7.423
 2004.8224       -2.289       -0.180        0.931        2.675        1.883        7.302
 2004.8251       -1.830        1.036       -0.275        2.654        1.880        7.246
 2004.8279       -3.380       -2.460        6.689        2.736        1.943        7.478
 2004.8306       -1.348        1.298       -1.261        2.664        1.875        7.257
 2004.8333        0.549        3.367       -1.968        2.709        1.943        7.440
 2004.8361        0.159        1.562       -4.216        2.719        1.935        7.559
 2004.8388       -0.718        3.242       -6.558        2.728        1.953        7.470
 2004.8415       -0.874        1.636       -7.715        2.682        1.900        7.346
 2004.8443       -2.629        2.332        3.094        2.729        1.945        7.472
 2004.8470       -0.521        1.508       -1.357        2.673        1.893        7.295
 2004.8497        1.418        2.994        4.965        2.731        1.928        7.485
 2004.8525       -0.037        4.937        1.067        3.492        2.393        9.300
 2004.8552        0.755        0.635       -0.861        2.807        1.993        7.808
 2004.8579        2.160        5.962       -0.815        2.875        2.040        8.196
 2004.8607        1.568        4.420       -8.306        2.672        1.890        7.259
 2004.8634        2.355        3.842       -2.380        2.682        1.896        7.308
 2004.8661        1.235        3.611       -2.855        2.650        1.888        7.220
 2004.8689        0.341        2.935       -3.837        2.656        1.904        7.313
 2004.8716        2.157        4.615        7.309        2.684        1.921        7.412
 2004.8743       -0.438        2.051        1.735        2.662        1.904        7.298
 2004.8770        0.848        1.837       -4.529        2.655        1.892        7.230
 2004.8798        0.074        1.527        0.811        2.700        1.932        7.456
 2004.8825        0.864        2.249       -5.536        2.752        1.977        7.589
 2004.8852        2.814        3.732       -6.055        2.698        1.907        7.362
 2004.8880        2.056        3.802       -1.269        2.652        1.896        7.258
 2004.8907        1.862        3.060        1.327        2.659        1.882        7.227
 2004.8934        1.326        3.526       -2.111        2.726        1.899        7.300
 2004.8962        0.003        3.040        7.615        2.684        1.903        7.273
 2004.8989        1.661       -0.109        6.058        2.986        2.100        7.987
 2004.9016        2.103        2.187        2.030        2.612        1.877        7.205
 2004.9044        0.501        0.976        4.965        2.596        1.873        7.129
 2004.9071        1.657        2.372       -2.549        2.609        1.884        7.209
 2004.9098        0.355        1.862       -1.583        2.610        1.879        7.196
 2004.9126        0.682        3.791       -3.103        2.598        1.876        7.157
 2004.9153        0.804        1.999       -2.175        2.727        1.913        7.386
 2004.9180        1.413        1.384        1.881        2.692        1.898        7.308
 2004.9208        1.547        3.715        5.057        2.648        1.879        7.234
 2004.9235        2.538        2.814       10.002        2.638        1.898        7.288
 2004.9262        0.744        1.873       11.849        2.621        1.895        7.310
 2004.9290        1.745        0.782        6.646        2.649        1.878        7.228
 2004.9317        1.202        0.954       13.054        2.664        1.891        7.256
 2004.9344        1.852        1.272       12.304        2.675        1.896        7.292
 2004.9372        3.392        1.848        5.093        2.635        1.895        7.262
 2004.9399        3.311        3.582        5.828        2.741        1.960        7.561
 2004.9426        0.940        1.512        1.413        2.758        1.938        7.501
 2004.9454        2.378        3.035       -4.209        2.655        1.883        7.232
 2004.9481        1.445        1.615        0.731        2.674        1.889        7.336
 2004.9508        1.244        1.733        0.536        2.686        1.874        7.132
 2004.9536        1.099        2.451       -2.172        2.709        1.904        7.270
 2004.9563        0.580        1.499       -7.501        2.699        1.890        7.344
 2004.9590        0.349        0.280       -6.368        2.592        1.861        7.131
 2004.9617        3.126        1.459       -2.824        2.594        1.853        7.129
 2004.9645        1.073       -1.123       -0.421        2.609        1.862        7.168
 2004.9672        1.660        0.729        4.525        2.866        2.029        7.702
 2004.9699        3.136        1.628       -4.789        2.668        1.896        7.398
 2004.9727        2.192        2.682       -0.576        2.650        1.904        7.353
 2004.9754        1.884        3.549       -4.678        2.607        1.864        7.143
 2004.9781        0.483        0.252       -3.775        2.600        1.855        7.139
 2004.9809        0.479        0.246        5.034        2.592        1.839        7.056
 2004.9836        1.818       -0.448        6.040        2.763        1.898        7.349
 2004.9863        1.704        0.470       -1.382        2.751        1.893        7.379
 2004.9891        2.009        0.176        2.290        2.821        1.930        7.481
 2004.9918        2.353       -1.088        5.811        2.756        1.901        7.413
 2004.9945        1.727        0.478        5.249        2.741        1.896        7.329
 2004.9973        0.587       -0.007        4.465        2.969        1.992        7.775
 2005.0000        0.125        2.039        1.321        2.774        1.906        7.423
 2005.0027        2.059        1.528       -1.750        2.761        1.900        7.397
 2005.0055        2.194        1.230       -2.452        2.757        1.901        7.370
 2005.0082        2.311        0.942       -4.206        2.763        1.918        7.460
 2005.0110        3.212        0.780       -1.198        2.756        1.920        7.443
 2005.0137        2.602       -1.360        1.902        2.800        1.954        7.633
 2005.0164        1.709        0.387        1.598        2.787        1.914        7.493
 2005.0192       -0.022        0.312       -0.217        2.742        1.933        7.448
 2005.0219        0.421        2.422        1.084        2.660        1.879        7.252
 2005.0247        2.418        2.290       -2.525        2.682        1.892        7.326
 2005.0274        0.908        3.184        3.404        2.690        1.885        7.301
 2005.0301        3.288       -1.027        5.761        2.681        1.896        7.366
 2005.0329        1.056        1.060       -2.522        2.693        1.883        7.328
 2005.0356        2.604        1.775       -7.078        2.672        1.885        7.299
 2005.0384        1.686        3.012       -4.838        2.668        1.895        7.293
 2005.0411        2.621        3.789       -7.358        2.687        1.901        7.340
 2005.0438        1.165        2.387        1.959        2.698        1.896        7.362
 2005.0466       -0.578        1.678        2.121        2.756        1.915        7.459
 2005.0493        2.369        1.345        2.618        2.771        1.934        7.496
 2005.0521        2.521        0.985        0.989        2.711        1.915        7.421
 2005.0548        1.716        0.319       -0.389        2.709        1.911        7.429
 2005.0575        1.165        0.607        6.105        2.673        1.879        7.266
 2005.0603        1.071        0.575        3.186        2.669        1.895        7.308
 2005.0630        2.069        1.577        2.220        2.684        1.886        7.334
 2005.0658        1.572        1.480        0.591        2.686        1.879        7.273
 2005.0685        0.548       -0.003       -1.071        2.678        1.875        7.229
 2005.0712        1.041       -1.042        2.073        2.675        1.869        7.220
 2005.0740       -0.065       -0.662        2.371        2.687        1.926        7.471
 2005.0767        0.151       -1.010        0.552        2.648        1.862        7.194
 2005.0795        0.606       -0.950       -2.362        2.673        1.872        7.259
 2005.0822        1.405        0.388       -0.551        2.662        1.873        7.270
 2005.0849        0.169        0.369        0.234        2.670        1.862        7.264
 2005.0877        0.343       -0.477       -3.432        2.664        1.868        7.277
 2005.0904       -0.694        1.436       -6.050        2.745        1.892        7.440
 2005.0932       -0.202        0.837        4.630        2.686        1.872        7.318
 2005.0959        0.816        0.049        5.781        2.677        1.870        7.277
 2005.0986        1.208        0.832        4.237        2.662        1.862        7.225
 2005.1014       -1.098        0.157       -0.648        2.659        1.853        7.231
 2005.1041        1.478        0.735       -0.982        2.697        1.910        7.344
 2005.1068        0.470       -0.708        1.519        2.719        1.927        7.470
 2005.1096       -0.742       -0.965        3.622        2.669        1.865        7.263
 2005.1123       -0.220       -1.794        4.124        2.680        1.859        7.238
 2005.1151       -1.204       -0.238        8.496        2.664        1.849        7.162
 2005.1178       -0.463       -2.335        6.787        2.646        1.841        7.138
 2005.1205       -0.428       -2.699        2.853        2.655        1.852        7.178
 2005.1233        0.518       -1.982       -2.192        2.679        1.857        7.211
 2005.1260        3.264       -0.474        0.272        2.675        1.871        7.267
 2005.1288        1.911       -0.186        0.803        2.750        1.878        7.266
 2005.1315        0.884        1.421       -1.191        2.677        1.857        7.280
 2005.1342        0.580       -0.162        3.419        2.659        1.848        7.189
 2005.1370        0.939        1.256        5.873        2.669        1.859        7.281
 2005.1397        1.734       -0.194        2.676        2.685        1.877        7.328
 2005.1425        0.120       -0.343        1.833        2.684        1.865        7.286
 2005.1452       -0.081        0.234        2.523        2.738        1.877        7.379
 2005.1479        0.878        1.241        6.213        2.716        1.876        7.327
 2005.1507        0.166        0.259        5.828        2.731        1.872        7.339
 2005.1534       -0.948        1.675        2.670        2.742        1.888        7.411
 2005.1562        0.591        0.039        1.954        2.753        1.889        7.426
 2005.1589       -0.301        0.557        2.618        2.745        1.874        7.367
