      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2007.9315        0.000        0.000        0.000        3.175        2.190        9.398
 2007.9342        2.267        1.321       -5.763        3.065        2.149        9.165
 2007.9370        1.665        1.736       -1.373        3.139        2.174        9.355
 2007.9397        2.328        1.064      -12.181        3.119        2.172        9.390
 2007.9425        4.026        0.178       -1.668        3.095        2.160        9.224
 2007.9452        0.434       -1.063       -4.075        3.143        2.142        9.254
 2007.9479        1.951        0.386       -6.919        3.156        2.157        9.362
 2007.9507        3.110       -0.153       -7.273        3.157        2.164        9.362
 2007.9534       -0.636        0.095       -2.054        3.132        2.173        9.340
 2007.9562        0.884       -0.769       -0.900        3.208        2.174        9.401
 2007.9589       -0.765       -1.463        2.038        3.190        2.200        9.476
 2007.9616        0.998       -1.272        0.401        3.212        2.196        9.437
 2007.9644        0.472       -2.676       -4.326        3.206        2.225        9.437
 2007.9671        1.641       -0.962        0.875        3.189        2.185        9.337
 2007.9699        2.619        0.779       -2.211        3.183        2.209        9.354
 2007.9726        2.452       -2.794       -7.294        3.220        2.215        9.512
 2007.9753       -1.970       -1.115       -3.963        3.248        2.206        9.583
 2007.9781       -0.966       -2.673       -2.836        3.200        2.179        9.488
 2007.9808        2.248       -0.719       -4.809        3.223        2.191        9.497
 2007.9836        2.821       -0.195      -10.912        3.189        2.176        9.489
 2007.9863        1.798       -0.911        5.967        3.283        2.199        9.639
 2007.9890        1.897       -0.714       -2.398        3.224        2.189        9.631
 2007.9918        2.557        1.650        2.090        3.208        2.176        9.574
 2007.9945        2.953        0.868       -9.036        3.325        2.241        9.906
 2007.9973        4.240        0.735       -6.663        3.158        2.129        9.121
 2008.0000        3.344        2.478       -1.126        3.183        2.159        9.318
 2008.0027        2.065        1.834       -4.707        3.216        2.176        9.281
 2008.0055        0.022        0.835        6.246        3.126        2.098        9.073
 2008.0082       -0.565       -1.657        6.329        3.151        2.116        9.331
 2008.0109       -2.200       -0.824        2.561        3.190        2.145        9.271
 2008.0137       -0.297       -0.614        0.721        3.189        2.169        9.387
 2008.0164        0.450        0.271        0.763        3.245        2.127        9.216
 2008.0191        1.220        0.525        1.199        3.246        2.131        9.340
 2008.0219       -1.493       -0.015       -1.429        3.260        2.137        9.383
 2008.0246        0.598       -2.421       -1.438        3.188        2.163        9.334
 2008.0273        0.598       -1.209        1.614        3.130        2.143        9.258
 2008.0301        1.039        0.230        0.710        3.146        2.138        9.180
 2008.0328        2.216        2.498       -5.017        3.123        2.130        9.167
 2008.0355        0.585       -0.227       -5.011        3.156        2.162        9.333
 2008.0383        1.120        1.544       -0.407        3.116        2.143        9.260
 2008.0410        2.910        1.347       -1.740        3.202        2.200        9.555
 2008.0437        2.110        1.222        2.268        3.242        2.196        9.600
 2008.0464        2.284        1.998        1.460        3.154        2.177        9.420
 2008.0492        4.777        3.414       -3.018        3.097        2.146        9.125
 2008.0519        2.143        3.537       -0.501        3.104        2.155        9.181
 2008.0546        3.992        3.466        0.126        3.091        2.139        9.143
 2008.0574        2.237        4.054        3.607        3.139        2.160        9.200
 2008.0601        2.420        2.710        4.080        3.141        2.149        9.194
 2008.0628        4.619        3.871        9.621        3.162        2.184        9.340
 2008.0656        3.537        3.234        9.282        3.146        2.178        9.288
 2008.0683        1.318        2.227        9.216        3.097        2.181        9.153
 2008.0710        1.211        2.233        8.305        3.150        2.179        9.323
 2008.0738        0.407       -0.049       10.557        3.131        2.190        9.247
 2008.0765        2.307        1.024        8.093        3.233        2.322        9.641
 2008.0792        1.379        3.132        2.571        3.326        2.250        9.763
 2008.0820        0.634        2.992       -5.489        3.181        2.248        9.451
 2008.0847        2.566        3.228        1.599        3.147        2.175        9.304
 2008.0874        2.491        3.984        2.644        3.179        2.189        9.461
 2008.0902        1.353        3.635        2.951        3.140        2.191        9.325
 2008.0929        2.950        3.270       -2.197        3.099        2.184        9.147
 2008.0956       -2.463        1.543       -5.084        3.238        2.252        9.695
 2008.0984        1.208        1.477        1.389        3.242        2.288        9.704
 2008.1011        0.567        0.723       -3.179        3.273        2.330        9.946
 2008.1038       -0.387        2.744        1.273        3.109        2.165        9.245
 2008.1066        2.731        3.997       -4.597        3.143        2.165        9.435
 2008.1093       -1.223        2.899       -2.710        3.120        2.133        9.277
 2008.1120        1.081        2.100       -3.721        3.151        2.172        9.283
 2008.1148        0.180        2.009       -2.343        3.126        2.127        9.124
 2008.1175        1.389        1.068        1.300        3.088        2.129        9.135
 2008.1202        3.004        1.880        0.883        3.144        2.123        9.275
 2008.1230        2.150        1.683       -0.407        3.133        2.165        9.481
 2008.1257        2.227        2.280       -1.315        3.087        2.128        9.105
 2008.1284        2.545        3.180        0.608        3.107        2.157        9.245
 2008.1311        2.267        3.306        0.261        3.055        2.144        9.042
 2008.1339        0.556        1.716        4.069        3.082        2.123        9.094
 2008.1366        0.972        1.380        9.590        2.997        2.095        8.833
 2008.1393       -0.966        1.407        5.046        3.081        2.128        9.069
 2008.1421       -0.040        1.439        5.242        3.122        2.129        9.008
 2008.1448        0.170        1.386        1.097        3.102        2.111        8.983
 2008.1475        0.084        2.602        3.607        3.086        2.122        9.163
 2008.1503        0.016        2.434        0.748        3.056        2.102        8.981
 2008.1530       -0.292        2.222       -3.765        3.092        2.087        8.993
 2008.1557       -0.216        3.098       -2.547        3.076        2.085        8.927
 2008.1585       -0.011        1.681      -10.902        3.050        2.059        8.791
 2008.1612       -1.023        1.967        3.231        3.046        2.076        8.857
 2008.1639        0.874        1.594        1.448        3.005        2.060        8.744
