      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.5710       -0.597        1.093        0.887        2.769        1.969        7.843
 2004.5738       -0.337        0.901        3.706        2.767        1.986        7.884
 2004.5765       -1.374        1.140       -2.619        2.776        1.990        7.945
 2004.5792       -1.137       -0.531       -0.996        2.781        1.981        7.949
 2004.5820       -0.669        0.033       -0.172        2.774        1.992        7.908
 2004.5847       -0.117        0.577       -3.538        2.786        1.991        7.951
 2004.5874       -1.702       -0.180        5.226        2.841        2.010        8.065
 2004.5902       -1.275       -0.140       -6.576        2.845        2.002        8.067
 2004.5929       -1.075        0.803       -2.477        2.802        2.048        8.080
 2004.5956       -1.922        0.092        0.940        2.773        1.999        7.989
 2004.5984       -2.738        0.233        1.454        2.764        1.973        7.866
 2004.6011       -1.831       -1.166       -4.696        2.776        1.984        7.924
 2004.6038       -1.113        0.067       -5.982        2.776        1.972        7.871
 2004.6066       -1.695       -1.551       -4.195        2.785        1.985        7.939
 2004.6093       -2.118        1.302       -6.196        2.789        1.968        7.933
 2004.6120       -0.284        2.324       -5.139        2.787        1.996        7.966
 2004.6148       -2.159        3.561       -2.655        2.832        2.017        8.111
 2004.6175       -2.650       -0.564       -3.601        2.776        1.978        7.939
 2004.6202       -2.475        1.136       -2.018        2.790        1.986        7.945
 2004.6230       -1.296        2.396       -7.651        2.864        2.072        8.199
 2004.6257       -2.752        1.563       -2.707        2.781        1.996        7.963
 2004.6284       -1.707        1.426       -2.384        2.785        1.992        7.971
 2004.6311       -2.224        0.638       -4.372        2.790        1.976        7.927
 2004.6339       -0.401        2.339        0.810        2.816        2.031        8.125
 2004.6366       -4.022        0.368       -1.606        2.810        1.990        8.008
 2004.6393       -3.467        0.533        4.531        2.789        1.964        7.881
 2004.6421       -2.662        0.161        6.155        2.761        1.953        7.878
 2004.6448       -2.402        0.140        2.397        2.758        1.970        7.838
 2004.6475       -1.767       -0.234        0.423        2.791        1.978        7.957
 2004.6503       -1.047        0.262       -1.021        2.796        1.975        7.955
