      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2006.1041        0.000        0.000        0.000        3.035        2.249        9.728
 2006.1068       -1.412        0.479        0.904        2.977        2.132        9.182
 2006.1096       -1.020       -0.136       -2.335        3.067        2.172        9.256
 2006.1123       -3.746        0.585       -1.030        2.906        2.077        8.819
 2006.1151       -2.911       -0.122       -0.011        2.874        2.074        8.743
 2006.1178       -2.640        0.951       -4.008        2.885        2.097        8.878
 2006.1205       -1.790       -0.153       15.374        2.864        2.064        8.786
 2006.1233       -0.864       -0.094        4.718        2.884        2.054        8.858
 2006.1260        0.239        1.721        4.090        2.884        2.066        8.871
 2006.1288        1.394        1.884       -5.796        2.898        2.109        9.147
 2006.1315       -1.272        1.392        6.010        2.870        2.053        8.834
 2006.1342       -3.257        0.383        7.253        2.875        2.084        8.874
 2006.1370       -1.941       -1.165        7.426        2.862        2.057        8.746
 2006.1397       -3.486       -0.935        1.930        2.893        2.049        8.831
 2006.1425       -1.013        3.312       -1.187        2.900        2.062        8.801
 2006.1452        0.641        0.119        0.669        2.899        2.062        8.833
 2006.1479        0.458        1.337        7.628        2.882        2.078        8.847
 2006.1507        0.200        1.821        5.734        2.870        2.083        8.889
 2006.1534        1.874       -0.771        3.199        2.919        2.109        9.019
 2006.1562       -1.598       -2.330       12.860        2.900        2.068        8.948
 2006.1589       -1.299       -1.415       13.166        2.955        2.072        8.861
 2006.1616       -0.526       -1.395       13.737        3.029        2.203        9.545
 2006.1644       -1.308        0.566        1.413        2.877        2.075        8.876
 2006.1671       -0.125       -0.262        5.977        2.954        2.091        9.016
 2006.1699        0.379        1.447        2.144        2.870        2.043        8.657
 2006.1726       -1.710        0.328        4.696        2.878        2.070        8.883
 2006.1753       -1.615        0.978        2.920        2.896        2.041        8.701
 2006.1781       -1.175        1.458        2.450        2.871        2.054        8.752
 2006.1808       -0.500        0.030        6.961        2.876        2.082        8.933
 2006.1836       -2.824       -4.096       12.748        2.860        2.049        8.655
 2006.1863       -3.524       -3.715       -0.793        2.867        2.076        8.857
 2006.1890        0.227       -0.798        7.119        2.940        2.033        8.616
 2006.1918        0.223       -0.964        5.539        2.905        2.043        8.682
 2006.1945        0.899        0.362        7.542        2.932        2.061        8.759
 2006.1973        1.495        0.001       13.058        2.924        2.098        8.898
 2006.2000        1.132       -0.586       10.607        2.939        2.074        8.800
 2006.2027       -0.198       -0.036        8.224        3.027        2.132        9.184
 2006.2055       -0.019        1.905        0.875        3.044        2.115        9.021
 2006.2082        0.584        4.090        6.172        2.928        2.039        8.727
 2006.2110        0.385        0.760        1.038        2.908        2.052        8.763
 2006.2137        1.071        0.650        6.272        2.898        2.057        8.686
 2006.2164       -0.594        1.674        5.292        2.908        2.069        8.794
 2006.2192       -2.602        2.942       10.386        3.018        2.169        9.232
 2006.2219       -0.137        2.462        9.499        3.037        2.162        9.116
 2006.2247       -0.128        1.103        4.306        3.030        2.156        9.194
 2006.2274       -1.590        1.033        5.559        2.993        2.143        9.032
 2006.2301       -0.054        2.115        4.612        2.996        2.146        9.010
 2006.2329       -1.100        1.720        3.734        3.027        2.143        9.043
 2006.2356       -1.114        0.857        4.933        2.872        2.059        8.529
 2006.2384       -1.597        0.037        3.406        2.819        2.036        8.529
 2006.2411       -1.224        0.123        3.885        2.795        2.049        8.597
 2006.2438       -1.687        1.344        2.414        2.817        2.059        8.732
 2006.2466       -1.752        1.196        3.602        2.795        2.057        8.591
 2006.2493       -1.745        1.409        0.515        2.812        2.053        8.603
 2006.2521       -1.437        1.193        2.973        2.830        2.065        8.667
 2006.2548       -2.915        1.612       -2.092        2.815        2.057        8.630
 2006.2575       -2.560        0.990        7.374        2.824        2.057        8.612
 2006.2603       -2.668        0.701        0.234        2.877        2.141        9.224
 2006.2630       -2.562        1.169       -0.730        2.972        2.107        8.975
 2006.2658       -2.601        1.942        4.183        2.929        2.099        8.911
