      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 1995.0301       -0.579        2.522        9.704        4.003        2.689       11.706
 1995.0329        2.484        3.629        3.587        3.917        2.605       11.528
 1995.0356        3.073        2.388        8.053        3.874        2.528       11.271
 1995.0384        4.663       -0.692       -0.791        3.827        2.632       11.596
 1995.0411        3.148        5.155        1.514        3.841        2.557       11.351
 1995.0438        2.379        2.377        2.806        3.879        2.583       11.452
 1995.0466        0.767        6.242        5.443        4.033        2.616       11.796
 1995.0493        2.730        4.329       -7.099        4.181        2.694       12.257
 1995.0521        0.807        2.727       -1.538        3.999        2.600       11.515
 1995.0548       -0.588        1.736        2.067        3.918        2.592       11.766
 1995.0575        2.251        1.288        5.433        3.842        2.558       11.257
 1995.0603        0.025       -0.469        6.670        4.047        2.728       12.007
 1995.0630        2.630       -0.425        2.381        3.820        2.529       11.258
 1995.0658        1.984        0.225       -0.025        3.851        2.499       11.261
 1995.0685        1.704        5.450        0.844        3.611        2.493       10.900
 1995.0712        3.448        7.840        4.113        3.565        2.488       10.678
 1995.0740        0.901        5.559       -1.111        3.473        2.487       10.480
 1995.0767       -0.539        1.654        7.527        3.413        2.439       10.236
 1995.0795        4.211        1.936       12.176        3.442        2.474       10.438
 1995.0822        1.222       -2.310        2.218        3.423        2.462       10.346
 1995.0849       -0.798        0.469        1.157        3.492        2.520       10.808
 1995.0877        0.455       -0.269       -4.722        3.550        2.565       11.012
 1995.0904        3.022        0.841       -7.452        3.510        2.527       10.981
 1995.0932        2.373       -0.259       -1.060        3.375        2.561       10.676
 1995.0959        1.616        4.024       -0.701        3.375        2.447       10.500
 1995.0986        0.251        2.297        9.152        3.601        2.567       11.191
 1995.1014        2.968        6.770       -0.315        3.591        2.561       11.024
 1995.1041        3.465        1.261       -1.571        3.529        2.468       11.050
 1995.1068        2.377        2.333        4.928        3.447        2.508       10.899
 1995.1096        2.849        2.473        6.638        3.466        2.606       11.110
 1995.1123        4.939        5.250        5.697        3.486        2.456       10.925
 1995.1151        1.193        6.268        3.664        3.549        2.462       10.831
 1995.1178        1.624        5.326       -5.142        5.823        3.898       16.433
 1995.1205        2.843        3.834        1.542        3.300        2.465       10.366
 1995.1233        3.080        3.639        9.583        3.475        2.519       10.863
 1995.1260       -0.765       -0.731        3.873        3.707        2.724       11.987
 1995.1288        0.481        0.806        0.762        3.411        2.557       11.033
 1995.1315        4.365       -1.324       -0.257        3.486        2.499       10.682
 1995.1342        1.685       -1.789       -0.751        3.527        2.559       11.171
 1995.1370        0.913        6.849      -10.407        3.743        2.705       11.538
 1995.1397        2.810        0.321       -1.818        3.383        2.557       10.641
 1995.1425        0.772        2.289        7.656        3.435        2.511       10.862
 1995.1452        1.246        2.557        0.559        3.425        2.499       10.838
 1995.1479        3.616        4.921       -2.409        3.449        2.565       11.055
 1995.1507        1.696        2.496       -4.575        3.462        2.612       11.335
 1995.1534        3.281        4.124       -6.824        3.348        2.500       10.937
 1995.1562        4.438        6.721        2.156        3.337        2.489       10.505
 1995.1589        4.398        7.602       -3.748        3.482        2.484       10.729
 1995.1616        3.108        3.362       -5.809        3.470        2.474       10.967
 1995.1644        1.920        5.259        3.137        4.584        3.176       14.728
 1995.1671        0.047        3.867        8.088        4.604        3.179       14.849
 1995.1699        1.289        6.451       14.178        4.560        3.107       14.432
 1995.1726        0.423       -4.000        3.761        4.590        3.157       14.699
 1995.1753        0.033       -2.216       17.170        4.621        3.220       14.772
 1995.1781        5.103        1.256        4.370        4.647        3.253       14.981
 1995.1808        1.617        5.506       19.813        4.562        3.135       14.437
 1995.1836       -2.384       -3.260       17.118        4.600        3.196       14.881
 1995.1863       -1.134        9.387        8.914        4.556        3.126       14.421
 1995.1890        1.701        4.229        2.528        4.511        3.120       14.414
 1995.1918        0.412        0.567        3.832        4.558        3.144       14.475
 1995.1945        2.343       -3.350        3.821        4.640        3.188       14.835
 1995.1973       -1.562        1.633        2.023        4.557        3.152       14.613
 1995.2000        2.582        9.486       -2.247        4.579        3.174       14.634
 1995.2027        0.330        4.799       -6.320        4.599        3.136       14.482
 1995.2055       -4.356        3.778       11.399        4.643        3.192       14.809
 1995.2082        0.792        1.104        9.316        4.855        3.262       15.121
 1995.2110       -3.624       -6.172       11.868        4.640        3.180       14.626
 1995.2137        1.068        4.131       -2.130        4.693        3.226       14.584
 1995.2164       -1.558       -3.542       10.604        4.706        3.273       14.790
 1995.2192        1.874        1.546       -9.508        4.658        3.172       14.669
 1995.2219       -5.182        4.962       11.594        4.722        3.203       14.480
 1995.2247       -1.712       -1.188        2.771        4.733        3.214       14.949
 1995.2274        0.797        2.652        1.640        3.360        2.492       10.338
 1995.2301        0.030       -1.135       -3.034        3.419        2.499       10.751
 1995.2329        2.329        2.784       -2.998        3.421        2.460       10.241
 1995.2356       -0.646        1.461       -4.459        3.635        2.570       11.307
 1995.2384       -0.165        4.705        2.511        3.504        2.612       11.221
 1995.2411       -0.525        1.010        4.397        3.398        2.502       10.663
 1995.2438       -1.528        4.554        0.919        3.451        2.527       10.685
 1995.2466        4.115        1.377       -0.480        3.521        2.568       10.974
 1995.2493       -1.559       -0.375        4.782        3.419        2.470       10.689
 1995.2521       -1.885       -0.751       -3.994        3.518        2.585       11.134
