      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2002.9041       -1.491        1.368       -2.677        2.906        2.006        8.229
 2002.9068       -0.827        1.588       -1.553        2.950        2.105        8.447
 2002.9096       -1.392        1.053        1.570        2.879        2.024        8.248
 2002.9123       -0.157        3.467        7.261        2.854        2.004        8.017
 2002.9151       -0.679        1.637        3.825        2.939        2.037        8.287
 2002.9178       -0.503        2.010        3.006        3.030        2.141        8.663
 2002.9205        4.115        4.115        8.047        4.982        3.652       14.703
 2002.9233        0.469        4.357        5.753        3.076        2.182        8.718
 2002.9260        0.455        4.044        5.670        2.940        2.075        8.300
 2002.9288       -0.978        3.480       17.261        2.969        2.093        8.582
 2002.9315       -0.676       -1.203        2.406        2.922        2.066        8.364
 2002.9342       -1.910        2.091        1.639        2.880        2.106        8.377
 2002.9370       -2.851        2.892        7.730        2.882        2.056        8.290
 2002.9397       -2.069        1.270       12.573        3.045        2.203        8.799
 2002.9425       -2.717        0.884        8.522        2.864        2.036        8.171
 2002.9452       -2.234       -2.118        6.504        2.866        2.055        8.221
 2002.9479       -0.512       -0.236        5.616        2.874        2.041        8.139
 2002.9507       -2.199        0.765        9.762        2.907        2.066        8.368
 2002.9534       -1.801        0.885        9.977        2.895        2.113        8.431
 2002.9562       -1.428       -2.265       10.819        3.032        2.193        8.595
 2002.9589       -2.174       -0.446       12.460        2.962        2.113        8.365
 2002.9616       -0.464       -1.183        3.761        2.937        2.067        8.420
 2002.9644        0.205       -1.646       -2.943        3.171        2.263        9.060
 2002.9671        1.164        1.073       10.829        3.006        2.203        8.666
 2002.9699        0.957       -0.974        1.150        2.917        2.076        8.366
 2002.9726        0.107       -0.283       -2.476        2.894        2.061        8.244
 2002.9753       -0.012       -0.237        0.538        2.929        2.122        8.436
 2002.9781        0.195        2.427        6.966        2.893        2.077        8.310
 2002.9863        0.045        0.177        4.885        2.953        2.149        8.508
 2002.9890        1.426       -1.837       -0.003        2.938        2.112        8.437
 2002.9918        1.433       -0.668        1.667        3.104        2.222        8.729
 2002.9945        0.547       -3.110       -0.298        2.902        2.099        8.182
 2003.0055        1.432        1.331       -1.368        2.921        2.141        8.427
 2003.0082       -1.892        1.394        1.114        2.888        2.082        8.230
 2003.0110        0.015       -0.615       -7.137        2.892        2.154        8.362
 2003.0137        0.516       -0.312       -7.731        2.929        2.119        8.281
 2003.0164       -0.988       -0.717      -10.375        2.920        2.112        8.385
 2003.0192        2.552        2.994       -3.888        2.858        2.037        8.051
 2003.0219        0.720       -2.105       -1.503        2.992        2.080        8.210
 2003.0247        0.605       -0.965        0.798        2.897        2.100        8.296
 2003.0274        2.435       -0.227       -0.946        2.869        2.045        8.116
 2003.0301        1.638        0.837        4.765        2.875        2.046        8.121
 2003.0329       -0.592        1.351       -0.225        2.883        2.048        8.185
 2003.0356       -0.760       -1.562       -4.749        2.840        2.024        7.982
 2003.0384       -0.432        5.594        2.105        2.878        2.079        8.226
 2003.0411       -0.304        2.948       -3.222        2.875        2.095        8.293
 2003.0438       -0.023       -1.218       -6.852        2.875        2.047        8.197
 2003.0466       -0.391       -0.411       -2.297        2.866        2.057        8.157
 2003.0493        0.063        3.340       -5.184        2.928        2.092        8.400
 2003.0521       -0.170        2.077        3.893        2.862        2.054        8.138
 2003.0548        1.382       -4.366       -0.256        2.876        2.069        8.182
 2003.0575        1.693        1.435        5.599        2.903        2.065        8.263
 2003.0603       -0.446        2.773        6.447        3.038        2.093        8.392
 2003.0630        1.065        2.138        3.873        3.014        2.097        8.425
 2003.0658        1.780       -1.779       -3.268        2.912        2.095        8.264
 2003.0685       -1.182       -2.016        0.415        2.891        2.083        8.219
 2003.0712        1.813        4.182       -0.170        2.908        2.093        8.302
 2003.0740        1.752        5.186       -5.207        2.920        2.108        8.396
 2003.0767        0.980       -0.298       -2.724        2.895        2.070        8.231
 2003.0795       -1.553       -0.823       -3.972        2.998        2.100        8.324
 2003.0822        2.113       -2.091      -12.129        2.924        2.098        8.362
 2003.0849        2.145        2.025        0.460        2.879        2.089        8.211
 2003.0877        0.806        2.567       -8.170        2.924        2.137        8.438
 2003.0904        0.525       -1.908       -8.471        2.972        2.089        8.232
 2003.0932        1.339        3.640       -1.736        2.934        2.140        8.300
 2003.0959        0.808        3.414       -3.347        2.892        2.075        8.201
 2003.0986        1.744        2.715       -6.985        2.895        2.122        8.375
 2003.1014        3.708        2.870       -3.496        2.883        2.108        8.222
 2003.1041        3.007        3.142        0.854        2.869        2.072        8.192
 2003.1068        0.262        3.435       -0.451        2.899        2.139        8.295
 2003.1096        1.991        5.209        2.809        2.959        2.170        8.671
 2003.1123        0.887       -0.459       -1.880        2.904        2.169        8.523
 2003.1151        3.799        4.050        5.922        2.911        2.119        8.376
 2003.1178        4.678        3.662        4.342        2.945        2.135        8.338
 2003.1205        5.919        2.722       -0.146        2.884        2.104        8.318
 2003.1233        3.782       -0.272       -7.668        2.859        2.052        8.091
 2003.1260        1.696        5.822        7.088        2.867        2.044        8.105
 2003.1288        0.887        4.851        5.886        2.902        2.105        8.335
 2003.1315        0.207        0.482       -7.383        2.888        2.106        8.288
 2003.1342        3.000       -0.453        3.952        2.927        2.134        8.378
 2003.1370        4.224       -0.309        4.314        2.789        1.989        7.917
 2003.1397        2.017        3.079       10.684        2.785        1.988        7.937
 2003.1425        1.138        0.481        0.265        2.893        2.095        8.285
 2003.1452        2.435        3.536        3.311        2.841        2.006        7.966
 2003.1479        3.274        0.555       -0.826        2.824        2.030        8.169
 2003.1507        1.448       -0.582       -2.632        2.818        2.007        8.048
 2003.1534        1.610        0.733        9.681        2.791        1.987        8.002
 2003.1562        3.166        3.880        3.446        2.914        2.084        8.539
 2003.1589        0.435        1.820        7.033        2.797        1.995        7.995
 2003.1616        0.301       -0.333        2.154        2.909        2.073        8.326
 2003.1644        1.909        0.658        0.880        2.939        2.090        8.443
 2003.1671        2.638        0.378        7.451        2.836        2.043        8.208
 2003.1699        2.070        1.032        7.873        2.852        2.074        8.255
 2003.1726        1.039        1.648       12.393        2.872        2.042        8.161
 2003.1753        0.023        1.455        6.327        2.810        2.002        8.046
 2003.1781        0.959       -1.920        4.097        2.886        2.073        8.572
 2003.1808        1.064        0.893        5.112        2.899        2.073        8.631
 2003.1836        1.289        0.327        1.223        2.778        1.956        7.860
 2003.1863       -1.104        0.116        2.606        2.884        2.038        8.160
 2003.1890        2.316        1.794        3.454        2.809        1.987        8.004
 2003.1918        0.234       -1.851        3.995        2.894        2.011        8.112
