      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.9208        1.665        3.546        5.806        2.749        1.941        7.653
 2004.9235        2.073        3.427        4.864        2.690        1.940        7.591
 2004.9262        0.886        2.000        6.510        2.685        1.949        7.658
 2004.9290        1.581        0.715        2.299        2.733        1.944        7.634
 2004.9317        1.962        1.138        8.180        2.775        1.978        7.809
 2004.9344        0.700        0.925        8.232        2.753        1.962        7.718
 2004.9372        2.972        4.434        1.343        2.740        1.972        7.754
 2004.9399        2.180        2.543       -6.758        2.791        2.012        8.001
 2004.9426        3.669        1.639       -2.122        2.756        1.947        7.765
 2004.9454        3.335        3.946       -0.021        2.753        1.946        7.709
 2004.9481        1.894        3.154        0.925        2.760        1.955        7.791
 2004.9508        1.427        3.055       -3.204        2.743        1.962        7.625
 2004.9536        1.461        3.347        1.182        2.751        1.943        7.557
 2004.9563        1.497        0.949       -7.962        2.748        1.931        7.672
 2004.9590        1.583        1.501      -12.206        2.680        1.917        7.597
 2004.9617        3.086        3.164      -10.059        2.688        1.925        7.559
 2004.9645        1.804       -3.205       -2.405        2.733        1.935        7.749
 2004.9672        0.708        0.588        1.443        2.670        1.905        7.465
 2004.9699        2.401        2.196        2.217        2.704        1.948        7.713
 2004.9727        2.030        2.914       -0.083        2.715        1.931        7.672
 2004.9754        2.529        3.303       -5.813        2.692        1.914        7.568
 2004.9781        1.215        1.273        2.100        2.660        1.911        7.491
 2004.9809        1.474        0.410       -0.584        2.658        1.910        7.480
 2004.9836        2.103       -0.214        2.585        2.798        1.962        7.681
 2004.9863        1.917        1.236        0.972        2.805        1.932        7.726
 2004.9891        1.819       -0.675        2.112        2.892        1.966        7.859
 2004.9918        1.902       -0.853        5.181        2.814        1.948        7.756
 2004.9945        1.350        0.604       -2.852        2.837        1.955        7.800
 2004.9973        1.095        0.002       -3.711        2.895        1.993        7.852
 2005.0000        1.924        0.015       -4.844        2.812        1.956        7.756
 2005.0027        2.641        2.406        0.651        2.817        1.950        7.760
 2005.0055        0.558        1.368       -1.360        2.822        1.947        7.753
 2005.0082        2.418        0.537       -1.093        2.821        1.975        7.822
 2005.0110        2.028        0.834       -0.105        2.829        1.985        7.867
 2005.0137        1.766        0.777       -0.778        2.850        2.017        7.984
 2005.0164        3.788       -0.622        2.594        2.815        1.959        7.760
 2005.0192        2.814       -1.043        6.553        2.777        1.970        7.704
 2005.0219        1.055        1.348        3.385        2.721        1.913        7.513
 2005.0247        1.900        1.598       -1.130        2.735        1.932        7.626
 2005.0274        0.500        1.357        4.037        2.730        1.931        7.585
