      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2008.0683       -0.000       -0.000        0.000        3.198        2.351       11.090
 2008.0710       -0.822        1.194       11.708        3.247        2.364       11.172
 2008.0738       -1.288        0.113       14.893        3.188        2.313       10.842
 2008.0765        0.521        0.177       -2.250        3.365        2.394       11.180
 2008.0792       -1.266        1.471       -6.446        3.382        2.375       11.361
 2008.0820       -3.471        1.999       -4.026        3.238        2.350       11.118
 2008.0847        0.399        2.099        3.884        3.167        2.374       11.051
 2008.0874       -0.203        3.943        0.867        3.216        2.375       11.200
 2008.0902        0.365        3.089        2.454        3.223        2.381       11.139
 2008.0929        1.432        2.011       -0.256        3.229        2.360       11.083
 2008.0956       -0.919        1.228        0.716        3.391        2.485       11.753
 2008.0984        0.376        2.620       10.517        3.277        2.458       11.547
 2008.1011       -2.357        1.610        7.249        3.357        2.509       11.809
 2008.1038       -0.227        5.973        2.412        3.267        2.424       11.345
 2008.1066        1.253        3.152        2.645        3.337        2.391       11.449
 2008.1093       -2.312        4.422       -0.894        3.283        2.430       11.383
 2008.1120       -0.393        2.107        1.470        3.273        2.425       11.291
 2008.1148       -0.261        2.768        6.862        3.330        2.394       11.307
 2008.1175       -0.036        3.522        7.772        3.293        2.400       11.340
 2008.1202        0.143        1.536       -5.530        3.268        2.384       11.159
 2008.1230        1.119        1.379       -2.273        3.269        2.468       11.584
 2008.1257       -0.923        0.624       -0.855        3.294        2.398       11.266
 2008.1284        0.137        3.168       -1.072        3.226        2.369       11.089
 2008.1311        0.233        3.320        0.444        3.316        2.397       11.161
 2008.1339       -1.749        2.462        4.702        3.214        2.370       11.136
 2008.1366       -1.021        1.604        1.234        3.214        2.371       11.187
 2008.1393       -3.380        1.620        1.704        3.228        2.368       11.101
 2008.1421       -3.070        1.386        8.123        3.290        2.406       11.251
 2008.1448       -1.864        0.509        6.151        3.261        2.386       11.222
 2008.1475       -2.135        1.679        5.693        3.288        2.421       11.329
 2008.1503       -0.797        2.124       -1.203        3.308        2.417       11.382
 2008.1530       -2.301        1.867       -7.789        3.343        2.413       11.418
 2008.1557       -2.832        1.736       -3.040        3.301        2.377       11.211
 2008.1585       -0.792        2.159        2.064        3.272        2.389       11.284
 2008.1612       -2.138        1.584       -1.091        3.257        2.375       11.291
 2008.1639       -0.419        1.840        2.280        3.281        2.361       11.242
 2008.1667       -0.128        4.553       -2.899        3.252        2.370       11.218
 2008.1694       -0.502        1.129       -1.708        3.274        2.375       11.034
 2008.1721        0.123        0.920       -3.690        3.270        2.336       11.112
 2008.1749        0.327        2.946       -5.588        3.454        2.388       11.484
 2008.1776       -0.596        3.233       -2.965        3.246        2.374       11.270
 2008.1803       -1.368        3.084       -1.708        3.190        2.347       11.026
 2008.1831       -1.149        0.393       -0.094        3.214        2.335       11.051
 2008.1858       -3.425       -0.287        1.771        3.293        2.346       11.290
 2008.1885       -1.163        1.312       -1.402        3.265        2.363       11.205
 2008.1913       -1.761        2.664        2.378        3.248        2.380       11.207
 2008.1940       -0.979        0.492       -0.478        3.287        2.339       11.206
 2008.1967       -1.612        0.271        8.886        3.237        2.365       11.450
 2008.1995        0.080        0.572        3.484        3.230        2.391       11.320
 2008.2022        0.020        3.859        0.368        3.250        2.358       11.189
 2008.2049       -0.147        3.104        3.713        3.235        2.341       11.044
 2008.2077       -1.505        3.329       -0.470        3.391        2.485       11.740
 2008.2104       -1.839        2.579       -3.589        3.371        2.454       11.518
 2008.2131       -0.258        3.383       -3.994        3.294        2.395       11.489
 2008.2158       -1.885        1.669        1.926        3.344        2.404       11.480
 2008.2186       -2.037        2.748       -6.636        3.355        2.375       11.366
 2008.2213       -0.773        2.744       -5.256        3.340        2.369       11.408
 2008.2240       -2.440        1.355       -3.863        3.323        2.385       11.325
 2008.2268       -3.245        0.772       -3.492        3.256        2.353       11.107
 2008.2295       -1.317        2.170        0.461        3.336        2.360       11.408
 2008.2322       -2.306        2.378       -0.140        3.460        2.406       11.589
 2008.2350       -0.900        1.184        3.567        3.387        2.378       11.429
 2008.2377       -0.492        1.063        4.720        3.260        2.348       11.117
 2008.2404       -1.129        0.230       -0.018        3.229        2.306       11.140
 2008.2432        1.113        0.997       -1.208        3.265        2.295       11.060
 2008.2459        0.336        1.590       -1.850        3.292        2.323       11.218
 2008.2486        0.786        1.141       -1.476        3.254        2.356       11.058
 2008.2514       -0.887        1.365        0.451        3.369        2.369       11.285
 2008.2541        0.329        0.627       -2.136        3.252        2.316       11.023
 2008.2568       -1.002        1.158        3.780        3.230        2.328       11.091
 2008.2596        0.827        0.107        9.085        3.273        2.311       11.077
 2008.2623       -1.228        0.372        5.469        3.284        2.323       11.148
 2008.2650        0.694       -0.227        3.046        3.374        2.344       11.334
 2008.2678       -0.279       -0.847        1.611        3.309        2.314       11.035
 2008.2705        1.057       -0.010        2.038        3.263        2.311       10.963
 2008.2732       -1.094        1.930        3.376        3.275        2.288       11.041
 2008.2760        0.598        2.098       -2.917        3.353        2.333       11.103
 2008.2787        0.334        2.506        1.285        3.270        2.364       11.258
 2008.2814        0.875        1.187       10.097        3.220        2.308       10.987
 2008.2842       -2.351        1.667        6.689        3.258        2.291       10.835
 2008.2869        0.102        0.665        9.614        3.419        2.437       11.285
 2008.2896       -1.818        0.425        3.648        3.369        2.390       11.199
 2008.2923       -0.978        1.211       -0.009        3.236        2.286       10.886
 2008.2951       -1.167        0.527        6.521        3.239        2.311       11.010
 2008.2978        1.816        1.484       -3.885        3.178        2.272       10.801
 2008.3005        1.087        2.798       10.094        3.209        2.260       10.809
 2008.3033        0.730        0.910        1.318        3.279        2.308       11.007
 2008.3060        0.321        2.701        6.927        3.254        2.287       10.947
 2008.3087        0.087        3.045        5.439        3.276        2.308       11.105
 2008.3115       -0.338        3.402        8.945        3.294        2.335       11.261
 2008.3142       -0.052        1.424        1.335        3.331        2.344       11.110
 2008.3169        0.167        2.848        2.773        3.386        2.325       11.081
 2008.3197       -0.215        3.322        7.044        3.400        2.336       11.042
 2008.3224        0.202        1.920        1.495        3.434        2.357       11.209
 2008.3251        2.599        2.729        7.101        3.479        2.405       11.383
 2008.3279        1.082        1.827        5.911        3.266        2.354       11.074
 2008.3306        0.508        2.755        2.465        3.385        2.338       11.196
 2008.3333        0.305        2.531        1.480        3.307        2.352       11.203
 2008.3361       -0.066        1.621        1.090        3.265        2.316       11.081
 2008.3388        0.326        1.519        3.924        3.288        2.308       11.204
 2008.3415        0.465        3.186        1.035        3.318        2.380       11.311
 2008.3443        0.959        2.577       -1.806        3.262        2.334       11.172
 2008.3470        1.031        0.753        4.075        3.245        2.318       11.069
 2008.3497        0.060       -0.670       -3.480        3.263        2.331       11.169
 2008.3525        1.365        0.502       -3.706        3.210        2.330       11.091
 2008.3552        0.135        2.043        8.416        3.223        2.331       11.126
 2008.3579        0.338        0.096        3.129        3.307        2.348       11.109
 2008.3607        0.206       -1.619       -0.206        3.316        2.322       10.980
 2008.3634       -1.364        0.871        2.556        3.256        2.324       11.005
 2008.3661        0.374       -0.802        0.343        3.231        2.316       11.027
 2008.3689        1.557        2.067       -6.365        3.370        2.381       11.254
 2008.3716       -0.331        1.641       -3.785        3.381        2.387       11.228
 2008.3743       -0.001        1.165       -2.601        3.313        2.407       11.301
 2008.3770       -1.936       -0.196       -0.300        3.413        2.404       11.533
 2008.3798       -0.224       -1.175       -2.006        3.323        2.351       11.403
 2008.3825        0.660       -0.766       -1.992        3.405        2.408       11.453
 2008.3852       -0.117       -1.457        1.502        3.337        2.355       11.265
 2008.3880        0.319        0.855        4.571        3.338        2.419       11.454
 2008.3907        0.760       -0.802        3.328        3.351        2.432       11.479
 2008.3934        0.240        1.670        3.506        3.358        2.378       11.410
 2008.3962       -0.070        0.403        3.225        3.304        2.390       11.326
 2008.3989       -0.276        1.459        9.441        3.312        2.380       11.438
 2008.4016        2.428        0.925        1.681        3.440        2.413       11.785
 2008.4044        0.092        1.735       -0.640        3.354        2.494       11.827
 2008.4071        1.134       -0.431        1.937        3.286        2.382       11.412
 2008.4098       -0.772        0.856        1.262        3.241        2.377       11.277
 2008.4126        0.197        2.624        1.193        3.272        2.376       11.433
 2008.4153        1.299        1.435       -0.478        3.331        2.456       11.781
 2008.4180        0.958        1.148        0.600        3.264        2.417       11.442
 2008.4208        1.494        0.227        1.865        3.395        2.423       11.535
 2008.4235        0.349       -1.827       -1.406        3.379        2.407       11.573
 2008.4262       -1.417       -1.070       -4.175        3.283        2.359       11.302
 2008.4290        0.914       -0.942        2.253        3.359        2.461       11.924
 2008.4317       -2.184       -2.414       -4.719        3.377        2.498       11.519
 2008.4344        1.107       -0.016        0.592        3.367        2.438       11.510
 2008.4372       -0.235        0.425        0.577        3.326        2.442       11.388
 2008.4399       -0.436        1.019        1.625        3.355        2.400       11.409
 2008.4426        0.069        0.088       -4.558        3.317        2.362       11.392
 2008.4454       -1.258        1.430       -4.088        3.405        2.402       11.436
 2008.4481       -2.482        0.450        1.900        3.377        2.408       11.557
 2008.4508       -0.219        2.232        1.246        3.466        2.456       11.677
 2008.4536        0.607        3.956        0.313        3.479        2.450       11.742
 2008.4563       -1.601        3.105        0.298        3.371        2.398       11.562
 2008.4590       -1.294        1.363       -3.170        3.394        2.405       11.613
 2008.4617       -0.348        2.456       -4.219        3.304        2.384       11.460
 2008.4645       -1.807        3.940       -2.489        3.387        2.404       11.718
 2008.4672        0.881        3.126        2.867        3.432        2.433       11.766
 2008.4699        1.551        1.380        4.013        3.361        2.430       11.764
 2008.4727        1.478        2.268       -8.715        3.460        2.399       11.563
 2008.4754       -2.655        2.394        2.897        3.368        2.390       11.547
 2008.4781       -0.087        3.433        3.244        3.308        2.384       11.534
 2008.4809       -1.856        3.865        2.515        3.406        2.424       11.778
 2008.4836       -1.485        1.081        1.364        3.430        2.488       11.839
 2008.4863       -1.321        1.630       -4.798        3.357        2.403       11.438
 2008.4891       -2.104        2.375       -9.229        3.404        2.409       11.596
 2008.4918       -0.456        3.015        0.591        3.422        2.473       11.889
 2008.4945       -1.050        2.456       -0.460        3.509        2.415       11.672
 2008.4973       -1.125        0.778       -9.425        4.282        3.228       15.840
 2008.5000       -0.500        1.857        1.203        3.609        2.537       12.300
 2008.5027        1.980        1.045        2.002        3.531        2.458       11.995
 2008.5055        0.145        1.042       -0.236        3.394        2.377       11.452
 2008.5082       -1.671        3.260        7.136        3.457        2.416       11.920
 2008.5109       -0.356        2.292       -7.462        3.471        2.418       11.765
 2008.5137       -2.417       -0.610       -6.217        3.433        2.388       11.857
 2008.5164        0.459       -1.401       -1.158        3.404        2.450       11.975
 2008.5191        0.294       -0.789        1.474        3.500        2.423       11.762
