      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2000.6066        1.031        4.552        5.509        4.156        2.741       12.771
 2000.6093       -0.559        2.593        6.102        3.798        2.715       12.075
 2000.6120        1.905       -0.604        0.147        4.027        2.735       12.525
 2000.6148       -0.258        0.700        0.437        3.874        2.542       11.586
 2000.6175       -0.254        2.823        4.775        3.818        2.639       11.963
 2000.6202       -0.163        1.291        6.019        3.848        2.585       11.521
 2000.6230       -0.732        2.456        2.385        3.800        2.541       11.594
 2000.6257        1.862       -0.573        9.396        3.915        2.595       11.810
 2000.6284        0.637        0.394        6.991        3.810        2.661       12.045
 2000.6311        0.754        0.810       10.622        3.687        2.559       11.453
 2000.6339       -0.107        0.594       10.093        3.779        2.636       11.770
 2000.6366       -2.095        2.092        3.267        3.558        2.520       10.962
 2000.6393       -0.428       -0.942        1.870        3.834        2.598       11.564
 2000.6421       -1.031       -1.217        7.141        3.633        2.520       11.103
 2000.6448       -0.883       -1.542        7.474        4.142        2.716       12.265
 2000.6475       -2.264        1.591        3.630        3.936        2.628       12.187
 2000.6503       -0.720       -1.643        2.417        3.824        2.613       11.753
 2000.6530       -0.380        0.647        3.387        3.751        2.677       11.854
 2000.6557       -1.288        0.817        3.676        3.864        2.587       11.812
 2000.6585       -3.085       -0.203        4.869        3.746        2.564       11.614
 2000.6612        0.878       -0.322       -3.321        3.869        2.579       11.895
 2000.6639       -1.125        0.189       -0.333        3.686        2.528       11.325
 2000.6667       -1.557       -1.129        2.419        3.814        2.605       11.410
 2000.6694       -0.346       -2.127       -0.371        3.677        2.532       11.345
 2000.6721       -1.925        1.626        0.273        3.600        2.529       11.298
 2000.6749        0.227        2.949       -1.434        3.596        2.522       11.093
 2000.6776       -0.768       -2.002        3.435        3.777        2.578       11.782
 2000.6803       -2.983        2.665        0.319        3.876        2.593       11.652
 2000.6831        0.199       -2.832        2.753        3.773        2.657       11.788
 2000.6858        0.618        0.231        0.642        3.848        2.568       11.481
 2000.6885       -1.565       -1.147        0.596        3.988        2.641       11.939
 2000.6913       -0.086        0.764        2.077        4.035        2.705       12.304
 2000.6940       -0.822       -0.683       -0.861        3.847        2.593       11.653
 2000.6967       -3.488       -1.779        8.718        4.807        3.232       14.010
 2001.2219        0.652        3.270       -0.337        3.648        2.501       11.557
 2001.2247        1.948        2.429       -4.478        3.634        2.557       11.546
 2001.2274        0.915        0.308       -0.628        3.702        2.639       12.012
 2001.2301       -1.616        3.219        0.768        3.819        2.613       11.948
 2001.2329        1.226        2.559       -4.779        3.804        2.588       11.945
 2001.2356       -0.683        4.437       -0.569        3.811        2.530       11.883
 2001.2384        2.120        6.757       -5.198        3.633        2.557       11.804
 2001.2411        1.014        4.739       -7.951        3.618        2.551       11.774
 2001.2438       -1.551        1.916       -5.461        4.177        2.937       13.326
 2001.2466       -3.667        2.187       -2.127        3.621        2.502       11.510
 2001.2493       -0.063        2.954       -4.432        3.648        2.494       11.772
 2001.2521        2.559        2.981       -7.372        3.776        2.594       12.064
 2001.2548        0.391        2.612        0.672        3.709        2.556       11.775
 2001.2575        0.597        2.629       -0.117        3.686        2.590       11.784
 2001.2603       -0.407        2.800        0.407        3.737        2.613       11.836
 2001.2630       -0.550        1.521        6.638        3.541        2.496       11.366
 2001.2658        1.149        2.362        1.735        3.638        2.468       12.080
 2001.2685        1.109        4.113        3.184        3.535        2.414       12.051
 2001.2712        1.117        5.885        3.419        3.466        2.387       11.476
 2001.2740        0.058        2.619        9.268        3.710        2.426       11.877
 2001.2767       -0.300        2.629        4.307        3.641        2.532       12.693
 2001.2795       -2.272        3.911       -0.277        3.551        2.456       11.762
 2001.2822       -1.620        2.120       -3.316        3.568        2.495       12.181
 2001.2849       -0.451        3.633        2.180        3.561        2.471       12.578
 2001.2877        4.041        3.399       -4.056        3.524        2.471       11.682
 2001.2904        2.003        0.753       -1.556        3.658        2.411       11.639
 2001.2932        0.179        4.600        5.079        3.654        2.483       11.484
 2001.2959        0.555        2.516       -1.899        3.536        2.372       11.964
 2001.2986       -1.769       -0.227       -0.410        3.483        2.391       11.766
 2001.3014        0.485        1.173        0.524        3.457        2.383       11.576
 2001.3041        3.563        1.469       -3.656        3.723        2.454       12.287
 2001.3068        1.954        1.633       -1.813        3.560        2.334       11.415
 2001.3096        0.176       -0.086       -0.324        3.608        2.368       12.144
 2001.3123       -1.278        0.694       -1.894        3.487        2.364       11.436
 2001.3151        0.284        1.675       -2.446        3.521        2.371       11.897
 2001.3178        0.525       -1.465       -2.847        3.551        2.389       12.275
 2001.3205       -2.660       -0.971        5.236        3.600        2.551       12.029
 2001.3233       -3.114       -3.162        3.901        3.518        2.354       11.727
 2001.3260       -3.123       -1.863        1.324        3.611        2.556       12.044
 2001.3288        0.385       -0.575       -4.412        3.605        2.451       12.022
 2001.3315        0.359       -1.133       -6.166        3.534        2.418       11.751
 2001.3342        3.434        1.804       -7.001        3.515        2.375       11.644
 2001.3370        0.133       -0.825       -2.739        3.533        2.425       11.867
 2001.3397       -1.632       -0.813        6.633        3.551        2.420       12.082
 2001.3425        0.673       -0.590        1.078        3.569        2.361       11.814
 2001.3452        2.379       -1.643       -0.318        3.607        2.437       12.195
 2001.3479        0.781       -0.497       -0.276        3.557        2.397       11.809
 2001.3507        3.014       -2.347        2.754        3.549        2.376       11.951
 2001.3534        1.200        0.652       -2.017        3.465        2.351       11.509
 2001.3562       -0.541       -0.704        1.997        3.606        2.377       11.651
 2001.3589        0.030       -1.359       -5.476        3.488        2.351       11.445
 2001.3616        0.633        0.306        6.002        3.479        2.415       11.621
 2001.3644        2.254       -0.945       -0.702        3.504        2.324       11.888
 2001.3671        0.965       -2.645        0.917        3.514        2.326       11.509
 2001.3699        0.459       -1.337       -2.154        3.450        2.426       11.668
 2001.3726        1.539       -2.784       -2.226        3.599        2.474       11.889
 2001.3753        1.855       -2.424       -3.273        3.476        2.327       11.193
 2001.3781       -1.666       -1.475        5.923        3.622        2.373       11.540
 2001.3808        2.216        1.162        1.320        3.472        2.352       11.413
 2001.3836        2.122        1.792       -0.406        3.512        2.401       11.966
 2001.3863       -0.523       -0.789        0.743        3.539        2.565       12.550
 2001.3890        0.346       -0.179        3.247        3.571        2.366       11.837
 2001.3918       -0.682       -0.505        6.102        3.516        2.429       11.610
 2001.3945       -0.702        0.229        1.136        3.581        2.404       12.072
 2001.3973        0.300       -3.884       -1.681        3.530        2.434       12.007
 2001.4000       -0.885       -3.546        3.638        3.502        2.405       11.564
 2001.4027       -1.343       -3.881        4.591        3.539        2.438       11.778
 2001.4055       -0.324       -0.716        1.100        3.640        2.441       12.278
 2001.4082       -0.233       -1.487       -2.625        3.471        2.348       11.419
 2001.4110        2.064       -0.896       -0.680        3.529        2.394       11.496
 2001.4137       -1.413       -1.305        7.251        3.568        2.552       12.214
 2001.4164       -1.489       -1.405        8.305        3.600        2.475       12.061
 2001.4192       -0.941       -1.923        5.476        3.541        2.355       11.808
 2001.4219        0.674       -0.608        1.729        3.623        2.480       12.602
 2001.4247       -0.628       -0.768       -1.550        3.675        2.481       12.327
 2001.4274       -2.052        1.284       -0.130        3.590        2.407       11.894
 2001.4301       -2.987       -1.383        3.159        3.615        2.450       12.174
 2001.4329        0.053        2.000       -3.024        3.562        2.421       12.251
 2001.4356       -0.236        2.321        2.404        3.578        2.403       12.040
 2001.4384       -2.443       -1.673        0.210        3.554        2.395       12.050
 2001.4411       -0.067       -1.769        0.507        3.556        2.395       12.447
 2001.4438       -1.562       -1.581       -0.895        3.590        2.439       12.180
 2001.4466       -1.646        1.104        5.266        3.613        2.437       12.060
 2001.4493        0.518        0.054       -2.137        3.496        2.361       11.719
 2001.4521       -0.841        1.807       -3.199        3.585        2.465       12.209
 2001.4548        0.084       -0.232       -7.859        3.540        2.441       11.917
 2001.4575        0.608        2.544       -5.300        3.790        2.477       11.970
 2001.4603       -1.449        1.535        2.061        3.529        2.418       12.207
 2001.4630       -0.626        0.353        2.188        3.557        2.393       12.428
 2001.4658       -1.114       -0.394       -0.596        3.594        2.452       12.507
 2001.4685       -1.603       -0.260       -1.962        3.575        2.459       12.559
 2001.4712        0.302        0.673       -5.902        3.479        2.351       11.118
 2001.4740       -2.701        0.578       -2.504        3.596        2.484       12.156
 2001.4795       -2.429       -0.012       -1.073        3.559        2.380       12.092
 2001.4822       -0.669       -0.290       -0.220        3.488        2.353       11.727
 2001.4849       -0.211       -0.107       -5.543        3.621        2.460       12.568
 2001.4877       -0.683        0.903       -1.706        3.529        2.465       11.681
 2001.4904        1.562        1.907       -1.919        3.485        2.377       11.622
 2001.4932        0.062        0.890       -2.188        3.440        2.338       11.288
 2001.4959       -1.672        1.497       -2.345        3.562        2.382       11.930
 2001.4986        2.136        1.759       -2.484        3.524        2.407       11.688
 2001.5014        1.357        1.737       -0.150        3.624        2.412       11.671
 2001.5041        0.345        3.819       -5.425        3.594        2.369       12.014
 2001.5068       -2.315        0.897        0.530        3.470        2.428       11.542
 2001.5096       -3.489        1.229        0.693        3.510        2.391       11.384
 2001.5123       -1.546        0.580       -3.149        3.558        2.413       11.800
 2001.5151       -1.287        2.249       -2.577        3.544        2.428       12.124
 2001.5178        0.428        1.306       -8.387        3.539        2.437       11.857
 2001.5205       -2.727        0.537       -2.759        3.682        2.462       12.116
 2001.5233        0.233        0.114        4.733        3.425        2.369       11.485
 2001.5260       -0.029        1.974       -1.828        3.672        2.413       11.917
 2001.5288        1.926        1.637       -1.130        4.065        2.718       12.918
 2001.5315        0.954        0.844       -2.746        3.457        2.399       11.236
 2001.5342       -1.146        2.261        4.337        3.494        2.391       11.532
 2001.5370       -1.176        0.623        1.043        3.697        2.503       12.843
 2001.5397       -1.119        0.404       -5.920        3.483        2.383       11.637
 2001.5425       -1.813        2.822        0.086        3.499        2.388       11.155
 2001.5452        0.187        3.565       -1.859        3.499        2.386       11.608
 2001.5479       -2.293        3.959       -4.577        3.755        2.531       11.805
 2001.5507       -1.213        3.641       -5.888        3.563        2.440       11.958
 2001.5534       -0.201        3.230       -6.403        3.492        2.435       11.671
 2001.5562       -0.021        4.076       -6.900        3.574        2.454       12.006
 2001.5589       -0.679        2.412       -3.346        3.479        2.418       11.452
 2001.5616       -0.389        1.307       -2.839        3.419        2.387       11.457
 2001.5644       -1.572        2.729        0.862        3.757        2.578       12.520
 2001.5671       -0.791        1.223       -0.961        3.916        2.720       12.880
 2001.5699       -1.349        4.277       -1.759        3.558        2.555       11.721
 2001.5726        0.289        1.974       -5.835        3.556        2.565       11.743
 2001.5753       -0.349       -0.234       -5.335        3.853        2.675       12.478
 2001.5781       -0.942        1.866        3.423        3.606        2.510       11.414
 2001.5808       -1.178        1.372       -1.519        3.484        2.394       10.907
 2001.5836        1.447        1.475       -1.995        3.514        2.451       11.518
 2001.5863        0.155       -0.139        6.279        3.524        2.485       11.562
 2001.5890       -2.229       -1.249        4.935        3.595        2.549       11.583
 2001.5918       -0.017       -1.941        1.276        3.656        2.539       11.702
 2001.5945       -1.394       -1.515        7.194        3.551        2.532       11.418
 2001.5973        0.331        0.628       -6.555        3.757        2.613       12.204
 2001.6000        0.051        1.496      -11.179        3.682        2.541       12.185
 2001.6027       -0.908        1.232       -3.374        3.705        2.583       12.276
 2001.6055        1.221       -2.518       -0.495        3.749        2.632       12.453
 2001.6082        1.185       -1.092       -0.964        3.703        2.443       11.463
 2001.6110        1.531       -0.066       -3.680        3.786        2.460       11.958
 2001.6137        0.764       -0.042       -4.123        3.741        2.561       11.931
 2001.6164       -1.165        0.793        0.155        3.631        2.614       11.722
 2001.6192        2.520        0.302       -4.204        3.707        2.477       12.236
 2001.6219       -2.662        0.154       -0.138        3.573        2.476       11.626
 2001.6247       -1.832        0.725        0.165        3.594        2.486       11.599
 2001.6274       -0.228       -1.060       -1.888        3.816        2.612       12.358
 2001.6301       -3.080       -2.101        0.090        3.623        2.486       12.048
 2001.6329       -1.523       -4.624        0.845        3.842        2.674       12.836
 2001.6356        0.105       -3.715       -5.638        3.847        2.775       12.940
 2001.6384       -1.389       -5.034        7.963        3.596        2.553       11.580
 2001.6411       -0.499       -1.809        1.258        3.639        2.562       12.051
 2001.6438        1.340       -1.726       -1.725        3.765        2.667       12.571
 2001.6466        2.314       -2.185       -1.981        3.772        2.624       12.519
 2001.6493       -1.049       -1.464       -1.487        4.092        2.998       13.477
 2001.6548        0.109       -0.516       -3.847        3.776        2.633       12.135
 2001.6575       -0.325       -0.927      -11.146        4.238        2.863       14.145
 2001.8740       -2.591        1.393        1.726        3.747        2.674       12.736
 2001.8767       -1.092        1.441       -7.137        3.631        2.542       12.233
 2001.8795       -0.641        1.052       -2.354        3.642        2.588       11.954
 2001.8822       -0.724       -1.168       -4.427        3.572        2.635       12.356
 2001.8849       -0.972       -1.432       -0.739        3.906        2.571       11.796
 2001.8877       -2.533       -0.746        2.071        3.785        2.600       12.439
 2001.8904       -0.999        1.655        4.115        3.591        2.603       12.122
 2001.8932       -2.248       -1.516        1.341        3.723        2.632       12.442
 2001.8959       -0.313       -1.086        8.527        4.059        2.725       12.527
 2001.8986       -1.242        1.938       -1.702        3.535        2.435       11.260
 2001.9041       -0.006        2.205       -3.610        3.548        2.529       11.703
 2001.9068       -1.527        1.996       -0.159        3.634        2.597       11.926
 2001.9151       -0.623       -1.428        9.433        5.013        3.568       17.321
 2001.9178        1.608        1.421       -4.346        3.682        2.599       12.852
 2001.9205       -0.945        0.508        5.502        3.647        2.633       12.707
 2001.9260        1.226       -0.860        0.173        3.569        2.505       12.020
 2001.9288        0.264        2.227        5.372        3.786        2.757       12.817
 2001.9315        2.255        0.258       -2.821        3.467        2.535       11.718
 2001.9342       -1.469       -0.891        3.461        3.634        2.557       12.477
 2001.9370        0.195        0.056        1.585        3.376        2.404       11.205
 2001.9397       -0.591       -0.105       12.542        3.770        2.655       13.060
 2001.9425        1.071        0.271        3.598        3.541        2.686       12.040
 2001.9452       -0.103        0.999       -4.330        3.707        2.685       12.443
 2001.9479       -1.589        2.032        3.123        3.571        2.511       11.684
 2001.9507       -1.564        2.040       10.075        3.528        2.626       12.081
 2001.9534       -0.736       -0.544        5.740        3.450        2.594       11.900
 2001.9562       -0.107        0.254        4.335        3.528        2.593       11.882
 2001.9589       -0.936       -0.951        4.273        3.644        2.568       12.270
 2001.9616       -0.934       -2.097        6.079        3.517        2.620       12.249
 2001.9644       -0.346        3.223       -3.133        3.512        2.451       11.668
 2001.9671        0.825        1.316       -4.941        3.440        2.498       11.516
 2001.9699       -0.024        1.763       -0.108        3.545        2.488       12.095
 2001.9726       -0.577        1.817       -3.348        3.638        2.728       12.700
 2001.9753        1.766        0.802       -2.962        3.547        2.627       11.906
 2001.9781        4.269        2.330      -10.466        3.627        2.642       12.197
 2001.9808        0.038        3.849       -4.345        3.608        2.536       12.026
 2001.9836        0.109        3.616       -3.677        3.537        2.507       12.106
 2001.9863        1.458        1.989        3.451        3.617        2.672       12.600
 2001.9890        2.154        3.847       -4.946        3.648        2.622       12.289
 2001.9918       -0.166        4.104       -0.387        3.521        2.574       11.686
 2001.9945        0.763        0.266       -3.826        3.622        2.620       12.355
 2001.9973        1.026        2.023       -6.771        3.874        2.825       13.145
 2002.0000       -2.226        1.482        4.138        3.768        2.641       12.463
 2002.0055       -1.890        0.053        7.707        3.677        2.609       12.359
 2002.0082        0.070       -0.032       -2.762        3.728        2.708       12.485
 2002.0110        0.127       -1.288        3.278        3.665        2.652       12.134
 2002.0137       -3.137       -1.454       10.074        3.494        2.563       11.842
 2002.0164       -2.438       -1.373        4.755        3.576        2.635       11.862
 2002.0192       -0.815        0.806        2.134        3.758        2.634       12.716
 2002.0219       -0.854        0.795       -2.207        3.577        2.536       11.688
 2002.0247        0.701        0.642       -6.665        3.624        2.641       12.015
 2002.0274       -0.369       -1.759       -8.819        3.735        2.566       11.829
 2002.0301        0.088        1.833       -3.061        3.802        2.728       12.793
 2002.0329        0.607        1.380       -4.813        3.572        2.560       11.840
 2002.0356        1.998        1.648       -6.439        3.614        2.692       11.995
 2002.0384        0.046        1.477       -7.261        3.830        2.868       13.801
 2002.0411        0.832       -0.307       -5.737        3.652        2.742       12.523
 2002.0438        0.338        2.786        5.012        3.572        2.643       12.484
 2002.0466        1.046       -0.768        1.074        3.548        2.574       12.078
 2002.0493       -2.757       -4.132        1.626        3.862        2.771       12.924
 2002.0521       -2.740       -2.274        7.796        3.743        2.770       12.953
 2002.0548       -0.545       -1.058       -3.396        3.775        2.761       13.487
 2002.0575       -0.199       -2.389       -1.358        3.680        2.793       13.190
 2002.0603        1.362       -3.904        1.955        3.659        2.611       12.551
 2002.0630       -0.203       -1.094        2.214        3.686        2.715       13.158
 2002.0658       -0.373       -2.645       -3.314        3.766        2.792       13.754
 2002.0685        1.408       -4.475       -0.216        3.788        2.678       12.704
 2002.0712        1.585        0.213      -10.203        3.777        2.776       13.198
 2002.0740        0.244       -0.270       -2.777        3.691        2.738       13.095
 2002.0767        1.396       -0.837       -2.625        3.866        2.675       13.905
 2002.0795        0.783       -1.486        1.982        3.843        2.754       13.437
 2002.0822        1.814       -2.186       -1.975        3.776        2.621       13.245
 2002.0849       -0.670        0.347       -3.267        4.063        2.856       13.934
 2002.0877       -0.141        0.125        4.554        3.972        2.863       14.284
 2002.0904       -2.530       -0.278        9.142        3.926        2.661       13.915
 2002.0932        1.443       -1.264       -0.090        3.902        2.650       13.380
 2002.0959       -3.430       -1.909        2.989        3.923        2.702       13.074
 2002.0986        1.717       -1.797        7.138        3.756        2.522       12.761
 2002.1014        0.176       -2.467        5.251        3.825        2.662       13.104
 2002.1041        1.586        1.700        3.452        4.243        2.854       13.857
 2002.1068        0.739        0.407        2.927        3.842        2.545       12.289
 2002.1096        1.696        1.394       -9.772        4.007        2.744       13.767
 2002.1123        0.704        2.610      -12.353        4.091        2.698       13.719
 2002.1151        1.132        2.166       -3.996        3.798        2.634       12.833
 2002.1178        1.025        1.627       -1.300        3.751        2.655       13.100
 2002.1205        2.384        0.279       -6.640        4.068        2.757       13.392
 2002.1233        0.477       -0.164       -3.338        3.888        2.671       12.709
 2002.1260        1.160        0.708        0.267        3.954        2.643       13.393
 2002.1288       -0.496        2.485        1.838        3.999        2.772       13.869
 2002.1315        0.590        0.478        6.145        3.966        2.734       13.796
 2002.1342        0.110        0.071       10.650        4.017        2.696       14.030
 2002.1370        0.155        1.180        2.702        3.933        2.664       13.583
 2002.1397        1.547        1.267       -0.348        3.962        2.759       13.931
 2002.1425       -0.299       -0.112       -2.886        3.994        2.747       13.448
 2002.1452        1.554        1.148        3.741        3.905        2.648       13.622
 2002.1479        1.012       -0.417        3.828        3.920        2.686       13.950
 2002.1507        0.173        0.662       -1.881        4.073        2.645       14.156
 2002.1534        1.938        1.200       -9.704        4.097        2.785       14.028
 2002.1562        2.356        0.061       -9.658        4.136        2.802       14.185
 2002.1589       -2.574       -0.951        3.151        3.947        2.703       13.657
 2002.1616        1.728        1.268        5.956        4.104        2.769       13.999
 2002.1644        1.497        0.939        3.840        3.879        2.725       13.436
 2002.1671        1.801        0.982       -6.143        4.144        2.838       14.433
 2002.1699        2.330        1.212       -5.522        3.920        2.615       13.133
 2002.1726        1.241       -0.270        0.980        3.769        2.545       12.255
 2002.1753        2.264       -0.759       -1.589        3.648        2.624       11.935
 2002.1781        0.776       -0.323        2.625        3.654        2.546       12.110
 2002.1836        1.340        0.608       -1.927        3.900        2.707       13.438
 2002.1863        2.001       -1.807        6.015        3.799        2.507       12.612
 2002.1890       -0.028       -1.557        0.280        3.895        2.710       13.343
 2002.1918       -1.391       -2.247        6.074        3.706        2.546       12.502
 2002.1945        3.237       -2.214       -4.317        3.814        2.606       13.309
 2002.1973        0.560        0.269       -1.686        4.128        2.910       14.010
 2002.2000       -0.337       -0.013       -1.838        3.987        2.758       13.968
 2002.2027        2.210        0.041       -0.612        4.316        2.897       14.384
 2002.2055        1.425        0.624       -1.575        4.064        2.950       14.168
 2002.2082        3.771       -0.429       -7.307        4.163        2.997       14.270
 2002.2110        0.055        2.640       -0.616        4.131        2.770       13.468
 2002.2137        1.623       -0.956       -0.767        3.785        2.621       13.090
 2002.2164        3.999        1.185       -3.143        3.995        2.661       12.977
 2002.2192        2.950        0.460        0.819        3.887        2.666       12.885
 2002.2219        2.237        0.492       -0.587        3.793        2.560       12.596
 2002.2247        3.485        2.104       -4.216        3.817        2.594       12.872
 2002.2274        2.552       -0.150       -0.098        3.766        2.569       12.768
 2002.2301        1.616        2.540        0.340        3.791        2.555       12.513
 2002.2329        1.556       -0.337       -1.444        3.933        2.699       13.067
 2002.2356        0.412        0.269        1.979        4.024        2.734       13.895
 2002.2384        1.926        2.633       -2.152        4.082        2.591       13.182
 2002.2411        0.387        2.198      -11.923        3.941        2.607       12.708
 2002.2438        0.530       -0.980       -3.289        3.813        2.512       12.363
 2002.2466        0.968        0.946       -1.482        3.808        2.608       12.844
 2002.2493        2.897        1.172        2.574        3.844        2.490       12.341
 2002.2521        1.863        1.405       -2.990        3.733        2.451       12.016
 2002.2548        3.513        2.681       -3.764        3.735        2.426       12.323
 2002.2575        2.098        0.971        0.139        4.086        2.637       12.775
 2002.2603        1.345        0.980       -1.213        3.844        2.506       12.376
 2002.2630        2.440        0.923        0.455        3.951        2.643       12.992
 2002.2658        1.188       -0.481        3.429        4.089        2.731       13.022
 2002.2685        3.824       -0.639        2.549        4.085        2.775       13.195
 2002.2712        1.614       -1.407        9.341        3.960        2.646       12.983
