      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.4536        1.078        2.264       -3.434        3.413        2.299       10.145
 2004.4563        1.150        2.639       -6.925        3.446        2.325       10.223
 2004.4590        2.584        4.267       -5.007        3.387        2.326       10.202
 2004.4617        0.758        3.133       -7.331        3.556        2.384       10.538
 2004.4645        2.542        2.502        1.722        3.418        2.335       10.335
 2004.4672        1.696        1.181        2.580        3.385        2.308       10.228
 2004.4699        1.630        1.219       -2.274        3.398        2.315       10.253
 2004.4727        1.438        2.980       -1.409        3.442        2.305       10.258
 2004.4754        3.663        3.446       -2.589        3.389        2.309       10.173
 2004.4781        3.841        2.210        3.427        3.336        2.265        9.994
 2004.4809        3.368        2.398        3.555        3.430        2.265       10.149
 2004.4836        3.453        2.385        0.074        3.272        2.275        9.959
 2004.4863        2.662        1.501        2.247        3.384        2.334       10.323
 2004.4891        2.661        1.727       -2.037        3.395        2.309       10.207
 2004.4918        3.409        0.839       -5.497        3.427        2.389       10.533
 2004.4945        2.245        1.395       -3.689        3.419        2.322       10.234
 2004.4973        2.464        1.080        2.618        3.329        2.340       10.248
 2004.5000        1.674        4.552        0.025        3.355        2.309       10.193
 2004.5027        0.864        2.041       -1.276        3.297        2.273        9.923
 2004.5055        2.831        2.075       -5.759        3.409        2.327       10.386
 2004.5082        2.348        2.030       -1.792        3.405        2.354       10.387
 2004.5109        2.815        1.815       -2.147        3.385        2.332       10.309
 2004.5137        0.187       -0.220        5.629        3.555        2.387       10.645
 2004.5164        0.960        1.684        2.441        3.335        2.318       10.164
 2004.5191        2.076        1.067        3.234        3.375        2.300       10.155
 2004.5219        2.319        1.883        5.320        3.368        2.278       10.087
 2004.5246        2.151        0.594        2.554        3.425        2.306       10.346
 2004.5273       -0.147        3.094        2.951        3.417        2.312       10.307
 2004.5301        1.520        0.929        0.563        3.394        2.309       10.247
 2004.5328        0.804        0.902       -3.784        3.398        2.324       10.303
 2004.5355        0.752       -0.388       -1.567        3.352        2.300       10.116
 2004.5383       -0.362        0.861        1.848        3.500        2.434       10.797
 2004.5410       -0.312       -1.305       -4.331        3.428        2.334       10.432
 2004.5437        1.844       -1.020        0.332        3.407        2.318       10.241
 2004.5464       -1.041       -0.907        2.359        3.431        2.379       10.484
 2004.5492        1.151       -2.519       -6.808        3.427        2.429       10.632
 2004.5519       -0.085       -2.662       -0.193        3.433        2.365       10.422
 2004.5546       -0.192       -1.784       -0.245        3.452        2.396       10.557
 2004.5574       -1.267       -2.306       -0.695        3.418        2.370       10.476
 2004.5601       -1.738       -2.214        2.336        3.471        2.393       10.678
 2004.5628       -0.099       -2.035       -4.883        3.465        2.420       10.686
 2004.5656       -1.054       -3.579        1.802        3.413        2.379       10.452
 2004.5683        0.073       -0.350       -0.441        3.514        2.416       10.777
 2004.5710       -1.611       -2.651        2.121        3.439        2.330       10.327
 2004.5738       -2.580       -2.085        0.438        3.383        2.316       10.155
 2004.5765       -1.806       -1.905       -0.758        3.377        2.303       10.132
 2004.5792       -2.664       -2.356        3.153        3.414        2.332       10.297
 2004.5820       -1.446       -2.048        2.530        3.421        2.332       10.384
 2004.5847       -0.384       -1.172       -1.967        3.408        2.325       10.258
 2004.5874       -1.868       -2.381        4.669        3.445        2.353       10.350
 2004.5902       -4.173       -3.082       -5.481        3.468        2.304       10.125
 2004.5929       -3.654        0.203       -3.445        3.425        2.388       10.494
 2004.5956       -1.054       -2.715       -3.854        3.388        2.350       10.233
 2004.5984       -2.884       -2.070        1.215        3.388        2.330       10.158
 2004.6011       -2.618       -2.895       -0.364        3.344        2.283        9.964
 2004.6038       -2.059       -1.843       -4.296        3.423        2.369       10.450
 2004.6066       -3.126       -3.386       -4.073        3.423        2.367       10.331
 2004.6093       -2.463        0.183       -6.048        3.409        2.325       10.253
 2004.6120       -3.544       -0.137        2.515        3.368        2.330       10.108
 2004.6148       -1.889       -0.461       -2.743        3.425        2.337       10.295
 2004.6175       -3.242       -1.202       -0.957        3.338        2.274        9.982
 2004.6202       -3.486       -1.437       -0.502        3.382        2.324       10.225
 2004.6230       -4.218        0.511       -2.585        3.382        2.365       10.101
 2004.6257       -4.317       -2.005        1.212        3.359        2.330       10.117
 2004.6284       -3.363       -0.979       -0.664        3.355        2.319       10.082
 2004.6311       -2.972       -1.271        1.759        3.340        2.302        9.962
 2004.6339       -3.215        1.326        4.561        3.368        2.307       10.022
 2004.6366       -4.076       -2.641        6.529        3.414        2.303       10.158
 2004.6393       -5.094       -0.827        1.071        3.379        2.320       10.151
 2004.6421       -1.927       -0.059        7.513        3.365        2.330       10.167
 2004.6448       -5.179       -1.924        3.314        3.382        2.314       10.171
 2004.6475       -1.697       -0.794        1.828        3.359        2.320       10.118
 2004.6503       -1.575       -1.493        1.029        3.374        2.320       10.110
 2004.6530       -4.038       -0.980       -5.627        3.328        2.294        9.926
 2004.6557       -3.682       -1.379       -5.454        3.404        2.372       10.335
 2004.6585       -2.107       -2.953        0.194        3.478        2.397       10.564
 2004.6612       -2.975       -2.291        0.377        3.410        2.344       10.408
 2004.6639       -1.436       -0.910       -7.307        3.407        2.301       10.206
 2004.6667       -2.353       -0.237        3.537        3.451        2.345       10.383
 2004.6694       -3.318        1.351        5.363        3.386        2.306       10.031
 2004.6721       -4.346       -1.340        4.639        3.390        2.292       10.077
 2004.6749       -1.325       -1.354        1.221        3.382        2.334       10.151
 2004.6776       -3.121       -1.683       -0.304        3.374        2.306       10.151
 2004.6803       -1.242       -0.932        2.156        3.369        2.310       10.180
 2004.6831       -2.594       -0.498        3.422        3.343        2.307       10.161
 2004.6858        0.459       -0.356       -9.919        3.425        2.345       10.400
 2004.6885       -0.465       -1.861       -3.496        3.407        2.321       10.230
 2004.6913       -1.229        1.671        0.917        3.367        2.304       10.061
 2004.6940       -1.585       -2.056       -1.236        3.429        2.375       10.492
 2004.6967       -2.807       -0.847        5.449        3.391        2.294       10.176
 2004.6995       -1.912        0.664        7.191        3.480        2.323       10.356
 2004.7022       -3.308       -0.245        7.793        3.355        2.322       10.175
 2004.7049       -2.451       -1.049        6.942        3.334        2.271        9.838
 2004.7077       -3.191       -0.699        5.655        3.353        2.299       10.013
 2004.7104       -3.103       -0.208        9.822        3.377        2.310       10.170
 2004.7131       -3.254       -0.104        3.427        3.350        2.304       10.033
 2004.7158       -1.648       -1.248        3.844        3.392        2.317       10.112
 2004.7186       -1.784       -1.091        0.935        3.366        2.327       10.197
 2004.7213       -1.646        0.378       -1.504        3.315        2.274        9.830
 2004.7240        1.053       -0.570       -4.902        3.369        2.283       10.033
 2004.7268       -2.105       -1.448       -1.757        3.364        2.333       10.187
 2004.7295       -2.454       -2.510       -1.017        3.371        2.324       10.163
 2004.7322       -3.953       -0.926        3.727        3.375        2.308       10.127
 2004.7350       -1.153       -1.294        2.411        3.361        2.280        9.935
 2004.7377       -1.723        1.075       -1.535        3.398        2.296       10.171
 2004.7404        1.032       -1.550       -4.156        3.399        2.302       10.172
 2004.7432       -0.741       -1.145       -0.600        3.362        2.299       10.103
 2004.7459       -0.741        0.793        2.271        3.321        2.285        9.913
 2004.7486       -0.909        2.475        0.350        3.359        2.311       10.105
 2004.7514       -0.507       -0.618        1.623        3.327        2.272        9.887
 2004.7541        1.046       -0.284       -2.822        3.344        2.264        9.987
 2004.7568        1.045        1.962       -3.888        3.328        2.258        9.790
 2004.7596       -1.564        0.511        3.398        3.335        2.282        9.982
 2004.7623       -0.852        1.770        4.346        3.373        2.319       10.175
 2004.7650        0.879       -0.820       -4.659        3.387        2.287       10.119
 2004.7678        0.191       -1.375        5.751        3.399        2.318       10.141
 2004.7705       -0.117        0.002       -4.561        3.472        2.395       10.411
 2004.7732        0.371       -1.554       -2.201        3.435        2.336       10.310
 2004.7760       -1.923       -0.304       -2.069        3.449        2.358       10.268
 2004.7787       -0.694       -1.025       -6.786        3.410        2.355       10.255
 2004.7814       -2.052        0.424       -6.369        3.444        2.363       10.372
 2004.7842        0.787       -0.968       -6.319        3.413        2.299       10.150
 2004.7869       -0.702       -1.126       -2.314        3.491        2.369       10.263
 2004.7896       -1.125       -1.082        7.158        3.389        2.323       10.173
 2004.7923       -0.060       -1.481        9.257        3.348        2.305        9.985
 2004.7951        0.078       -1.021        2.773        3.369        2.293       10.034
 2004.7978       -1.282        0.407        5.164        3.465        2.351       10.135
 2004.8005        0.710       -0.995        1.901        3.471        2.325       10.093
 2004.8033        0.278        0.658        6.865        3.430        2.301       10.080
 2004.8060       -1.585       -0.867        3.887        3.447        2.337       10.287
 2004.8087       -1.651       -0.652       -3.962        3.358        2.236        9.715
 2004.8115       -0.918       -0.016        0.865        3.347        2.262        9.779
 2004.8142       -1.574       -0.815       -0.994        3.346        2.303        9.934
 2004.8169       -1.151        0.012        5.595        3.464        2.340       10.179
 2004.8197       -1.674       -1.582        2.266        3.395        2.302        9.960
 2004.8224       -0.717       -1.690        1.085        3.356        2.286        9.946
 2004.8251       -0.199       -0.255       -7.660        3.332        2.271        9.868
 2004.8279       -2.065       -2.896       -6.106        3.435        2.399       10.358
 2004.8306       -0.251        0.753        1.378        3.308        2.269        9.822
 2004.8333       -0.052        2.944       -8.049        3.381        2.317       10.127
 2004.8361       -0.559        0.611       -6.118        3.331        2.296        9.977
 2004.8388       -0.384        1.293       -8.075        3.348        2.315       10.014
 2004.8415       -0.456        0.114       -6.118        3.320        2.287       10.062
 2004.8443       -4.311       -0.819        4.337        3.333        2.290        9.944
 2004.8470       -0.518        1.028        1.417        3.316        2.318       10.071
 2004.8497        2.827        2.335       -3.108        3.395        2.324       10.036
 2004.8525       -0.741        3.657        1.488        4.132        2.834       12.563
 2004.8552       -0.819       -0.524       -5.516        3.416        2.353       10.242
 2004.8579        2.099        4.714       -2.384        3.471        2.396       10.535
 2004.8607        2.068        3.509       -4.883        3.331        2.326       10.012
 2004.8634        1.021        2.167       -2.209        3.355        2.328       10.133
 2004.8661        1.360        3.932       -2.568        3.360        2.296        9.972
 2004.8689       -0.726        3.362       -9.988        3.389        2.303       10.126
 2004.8716        0.579        3.111        9.807        3.439        2.412       10.531
 2004.8743        0.368        1.259       -1.946        3.336        2.331       10.078
 2004.8770       -0.324        1.644       -1.373        3.317        2.304       10.021
 2004.8798        1.333       -0.357       -3.438        3.353        2.358       10.205
 2004.8825        1.351        1.910       -6.316        3.409        2.400       10.507
 2004.8852        2.112        2.985       -1.524        3.332        2.274        9.832
 2004.8880        2.424        2.383       -2.084        3.349        2.333       10.073
 2004.8907        1.394        2.005        1.261        3.308        2.295       10.095
 2004.8934        0.358        2.347       -2.872        3.418        2.349       10.340
 2004.8962        1.501        1.652       12.955        3.419        2.349       10.274
 2004.8989        1.015        0.898        4.506        3.321        2.332       10.024
 2004.9016        2.531        0.148       -0.705        3.283        2.265        9.867
 2004.9044        0.264       -0.187        4.107        3.276        2.283        9.879
 2004.9071        1.589        0.768       -3.305        3.249        2.277        9.907
 2004.9098        0.439        0.331        0.335        3.202        2.304        9.853
 2004.9126        0.193        1.692       -1.075        3.237        2.299        9.886
 2004.9153        0.898        0.042       -0.622        3.348        2.272        9.849
 2004.9180        0.785       -0.356       -0.303        3.350        2.289        9.931
 2004.9208        1.418        1.535        1.149        3.342        2.300       10.008
