      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2007.3973        1.102       -0.589        1.729        2.789        1.963        7.902
 2007.4000        0.988       -1.692       12.140        2.825        1.958        7.978
 2007.4027       -0.177       -1.151        4.706        2.789        1.975        7.952
 2007.4055       -0.161       -1.268        0.816        2.819        1.966        8.024
 2007.4082       -0.452       -1.206        2.341        2.826        1.990        8.007
 2007.4110       -0.845       -1.813        4.256        2.812        1.969        8.021
 2007.4137       -0.390       -1.650        4.925        2.841        1.993        8.208
 2007.4164        0.227       -1.654        0.946        2.793        1.967        8.006
 2007.4192        0.453       -1.674        0.846        2.789        1.994        8.079
 2007.4219       -0.123        0.156        7.349        2.807        1.983        8.069
 2007.4247        0.337       -0.714        4.967        2.851        2.007        8.143
 2007.4274       -1.975       -3.337        3.740        2.801        1.971        7.970
 2007.4301       -0.949       -3.551        0.995        2.824        1.992        8.091
 2007.4329       -0.227       -1.475        4.409        2.799        1.970        7.966
 2007.4356       -0.092       -1.206        1.194        2.776        1.974        7.963
 2007.4384        0.894       -0.924       -1.576        2.816        1.979        8.020
 2007.4411        0.753       -1.290       -1.264        2.861        2.015        8.180
 2007.4438       -1.136       -3.566        2.333        2.818        1.996        8.016
 2007.4466        0.778       -1.240       -3.489        2.758        1.972        7.964
 2007.4493       -0.290        0.087      -10.877        2.822        1.957        8.000
 2007.4521        0.635       -1.293        4.802        2.805        1.958        7.996
 2007.4548       -0.048       -0.128       -3.815        2.787        1.964        7.944
 2007.4575       -0.087       -0.471       -8.141        2.795        1.991        7.992
 2007.4603       -0.163        0.138       -3.043        2.788        1.969        7.925
 2007.4630       -0.843        0.436        1.764        2.818        1.979        8.054
 2007.4658       -0.405       -0.273        2.053        2.802        1.984        8.027
 2007.4685       -1.376        0.302       -1.796        2.812        1.965        8.019
 2007.4712        0.763        1.193       -9.492        3.068        2.240        9.093
 2007.4740       -3.052        0.072        3.023        6.678        3.841       15.863
 2007.4767       -1.688        1.831        0.203        2.913        2.050        8.396
 2007.4795       -1.038        2.029       -6.659        2.793        1.984        7.995
 2007.4822       -0.901       -0.073       -5.780        2.781        1.979        7.940
 2007.4849       -0.764        0.890        1.039        2.838        1.989        8.025
 2007.4877        0.636        1.338       -4.070        2.817        1.997        8.096
 2007.4904        0.279        1.064       -2.170        2.855        1.989        8.139
 2007.4932       -1.136        1.103        0.202        2.834        1.979        8.125
 2007.4959       -0.826        1.101       -2.805        2.806        1.995        8.020
 2007.4986       -2.182        0.701        2.628        2.795        1.952        7.859
 2007.5014       -1.823        2.103       -2.492        2.844        1.983        8.062
 2007.5041       -0.397        1.511       -3.790        2.847        1.988        8.047
 2007.5068       -0.461        0.172       -6.342        2.857        2.001        8.166
 2007.5096        0.483        1.376       -1.776        2.851        1.972        8.105
 2007.5123       -0.794       -0.050       -0.970        2.861        1.975        8.144
 2007.5151       -0.624        0.234        0.177        2.844        1.980        8.104
 2007.5178       -2.453        1.940       -1.984        2.847        1.981        8.063
 2007.5205       -1.996        1.588       -3.276        2.883        2.020        8.301
