      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2004.5191        2.433        1.190        4.560        2.819        1.962        8.057
 2004.5219        1.004        2.742        3.607        2.879        1.999        8.139
 2004.5246        2.225        1.210        3.339        2.799        1.954        7.987
 2004.5273        0.403        3.719        5.909        2.812        1.971        8.144
 2004.5301        2.242        1.523        0.004        2.856        1.986        8.170
 2004.5328        2.491        0.601        1.135        2.808        1.973        8.082
 2004.5355        0.326        1.990        2.902        2.885        2.002        8.236
 2004.5383        1.872        0.924       -3.874        2.904        2.100        8.540
 2004.5410        2.018        0.636        0.616        2.868        2.030        8.376
 2004.5437        1.854        1.898        5.290        2.838        1.982        8.189
 2004.5464        1.378        2.435        2.723        2.868        2.022        8.425
 2004.5492        1.585        1.917        7.813        2.853        2.020        8.293
 2004.5519        0.947        1.480        2.567        2.889        2.065        8.138
 2004.5546        0.438        1.221        3.258        2.780        1.964        7.964
 2004.5574       -0.326       -0.926        1.068        2.803        1.958        7.970
 2004.5601       -1.569       -0.757       -2.799        2.776        1.976        8.040
 2004.5628       -0.918       -0.161        1.577        2.908        1.988        8.340
 2004.5656       -1.718       -2.328       -0.326        2.809        1.973        8.045
 2004.5683        0.437        0.395        4.282        2.960        2.020        8.565
 2004.5710       -1.740       -1.924        1.549        2.764        1.964        8.006
 2004.5738       -2.381       -1.497        1.498        2.770        1.973        8.094
 2004.5765       -0.750       -0.383        1.547        2.806        1.983        8.093
 2004.5792       -0.809       -2.018        2.630        2.766        1.973        8.024
 2004.5820       -0.917       -0.601       -3.794        2.799        1.972        8.066
 2004.5847       -1.307       -0.719       -6.162        2.797        1.972        8.043
 2004.5874       -2.043       -1.486        5.356        2.862        1.998        8.185
 2004.5902       -2.901       -2.218        3.901        2.857        1.984        8.113
 2004.5929       -1.743       -2.003        0.666        2.805        2.002        8.109
 2004.5956       -0.334       -2.505       -1.376        2.807        1.989        8.121
 2004.5984       -4.093        0.090        0.008        2.785        1.975        8.005
 2004.6011       -2.593       -1.639       -2.488        2.790        1.962        7.945
 2004.6038       -0.488       -0.617       -4.647        2.754        1.962        7.912
 2004.6066       -1.930       -0.651       -6.911        2.796        1.971        8.037
 2004.6093       -2.443        0.774       -9.117        2.834        1.970        8.119
 2004.6120       -3.029       -0.732       -9.241        2.804        1.974        8.020
 2004.6148       -1.306        0.495       -2.880        2.847        1.985        8.116
 2004.6175       -2.650       -1.765       -3.875        2.803        1.976        8.076
 2004.6202       -3.437       -0.788        2.126        2.794        1.971        8.078
 2004.6230       -1.235        0.201       -9.978        2.825        2.016        8.031
 2004.6257       -2.695       -0.897       -7.590        2.803        1.966        7.998
 2004.6284       -2.725       -1.182        0.810        2.801        1.953        7.955
 2004.6311       -1.900       -1.277        0.988        2.827        1.976        8.129
 2004.6339       -0.002       -0.331        2.814        2.803        1.956        7.999
 2004.6366       -2.862       -2.218        5.852        2.897        2.033        8.258
 2004.6393       -0.974       -0.965        8.942        2.788        1.953        7.944
 2004.6421       -2.590       -0.096       10.352        2.798        1.951        7.894
 2004.6448       -1.893       -1.400        3.637        2.818        1.955        7.992
 2004.6475       -1.681        0.406        4.777        2.823        1.965        8.009
 2004.6503        0.222       -0.830        1.847        2.783        1.950        7.910
 2004.6530       -1.300       -1.404        0.429        2.790        1.955        7.947
 2004.6557       -2.827       -0.366       -1.081        2.845        2.019        8.227
 2004.6585        0.122       -1.962       -0.622        2.822        2.020        8.150
 2004.6612       -1.299       -2.092        0.134        2.898        2.032        8.464
 2004.6639       -1.694        0.011       -0.237        2.802        1.962        7.957
 2004.6667       -5.003        1.433        7.635        2.809        1.979        8.096
 2004.6694       -2.309        0.146        0.271        2.801        1.939        7.890
 2004.6721       -2.980       -0.185       -2.170        2.843        1.967        8.046
 2004.6749       -0.451       -0.867        5.246        2.796        1.964        7.976
 2004.6776       -1.117       -1.595       -5.805        2.775        1.950        7.918
 2004.6803       -1.088       -1.720        0.352        2.780        1.952        7.931
 2004.6831       -0.879       -1.370       -1.580        2.774        1.970        7.948
 2004.6858        0.273       -1.019       -1.855        2.814        1.986        8.074
 2004.6885       -2.024       -1.681        7.037        2.817        1.992        8.033
 2004.6913       -1.507        0.957       -1.761        2.780        1.962        7.921
 2004.6967       -1.425       -0.368        1.054        2.794        1.956        7.914
 2004.6995       -2.321       -0.822        7.952        2.835        1.968        8.023
 2004.7022       -1.980       -0.843        8.093        2.850        1.977        8.039
 2004.7049       -1.124       -0.386        3.112        2.790        1.951        7.891
 2004.7077       -2.866       -1.215        3.188        2.791        1.977        7.980
 2004.7104       -1.198        0.383        7.638        2.782        1.957        7.904
 2004.7131       -3.276       -1.113        7.598        2.786        1.952        7.896
 2004.7158       -2.858       -1.258        6.392        2.802        1.967        7.898
 2004.7186       -1.043       -0.841       -2.874        2.782        1.963        7.898
 2004.7213       -3.006        1.069       -1.562        2.787        1.962        7.898
 2004.7240       -0.651        1.018       -0.493        2.779        1.949        7.824
 2004.7268       -1.339       -0.520        0.107        2.805        1.973        8.003
 2004.7295       -2.411       -2.309       -0.557        2.794        1.959        7.979
 2004.7322       -2.040       -0.141        0.152        2.794        1.969        8.019
 2004.7350       -1.498       -0.220       -3.790        2.813        1.966        7.996
 2004.7377       -1.721        0.781       -2.952        2.777        1.956        7.834
 2004.7404        0.478       -2.046        2.884        2.794        1.958        7.889
 2004.7432        0.440       -1.765       -0.469        2.775        1.954        7.846
 2004.7459       -0.029        0.797       -2.583        2.785        1.949        7.877
 2004.7486       -0.518        2.177       -1.192        2.776        1.956        7.873
 2004.7514        0.700        0.185       -0.123        2.770        1.958        7.885
 2004.7541        1.050        0.029       -6.569        2.761        1.952        7.843
 2004.7568        1.325        0.627       -1.242        2.750        1.945        7.749
 2004.7596       -1.900        0.866        0.321        2.743        1.946        7.836
 2004.7623       -2.642       -1.310       -0.928        2.845        1.973        8.085
 2004.7650        0.213       -0.436       -2.027        2.747        1.935        7.720
 2004.7678       -0.744       -4.283       -2.690        2.874        2.019        8.175
 2004.7705       -2.346       -0.429       -0.821        2.843        2.009        8.112
 2004.7732        0.917        0.071        1.935        2.808        1.984        7.891
 2004.7760       -0.432       -0.372       -1.923        2.830        1.987        7.981
 2004.7787        0.007       -0.072       -4.053        2.844        1.996        8.020
 2004.7814       -1.124        0.583       -5.950        2.881        2.018        8.125
 2004.7842        0.415       -0.339       -8.844        2.808        1.963        7.867
 2004.7869       -1.035       -0.699       -2.235        2.854        2.010        8.011
 2004.7896        0.190       -1.431        1.517        2.777        1.950        7.851
 2004.7923       -1.034       -1.452        9.952        2.805        1.957        7.859
 2004.7951       -1.840       -2.515        5.274        2.789        1.955        7.818
 2004.7978       -0.932        0.585        5.735        2.903        2.020        8.125
 2004.8005       -0.240       -1.265        1.208        2.865        1.994        7.971
 2004.8033       -0.313        0.627        1.723        2.835        1.964        7.875
 2004.8060        0.102       -0.930        4.140        2.830        1.973        7.944
 2004.8087        0.752       -1.287        2.433        2.782        1.959        7.814
 2004.8115       -1.575       -0.056        2.074        2.758        1.936        7.746
 2004.8142       -2.254       -1.120       -2.666        2.770        1.953        7.826
 2004.8169       -0.136        0.327        4.119        2.863        2.003        8.020
 2004.8197       -1.188       -1.080       -0.742        2.835        2.008        7.963
 2004.8224       -2.078       -1.065        2.692        2.748        1.945        7.773
 2004.8251       -2.502        0.426        0.029        2.766        1.937        7.767
 2004.8306       -0.370        1.616       -2.579        2.768        1.950        7.771
 2004.8333       -0.528        2.443       -5.201        2.840        2.011        8.000
 2004.8361        0.558        1.309        1.221        2.810        1.945        7.851
 2004.8388        0.049        2.640       -7.496        2.849        2.002        7.946
 2004.8415       -1.976        0.503       -8.159        2.802        1.954        7.809
 2004.8443       -1.491        1.717        1.319        2.798        1.958        7.803
