      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2008.7568        1.017       -0.235        5.334        3.298        2.519       10.799
 2008.7596       -0.006       -0.454       -2.070        3.172        2.484       10.571
 2008.7623        0.457        0.897       -7.287        3.121        2.505       10.355
 2008.7650        0.869       -0.916       -0.520        3.183        2.523       10.465
 2008.7678       -1.172       -0.519        6.201        3.223        2.518       10.498
 2008.7705       -0.673       -0.189        1.745        3.166        2.504       10.569
 2008.7732        0.886        2.133        2.254        3.136        2.480       10.496
 2008.7760        1.053        1.212        1.379        3.100        2.439       10.439
 2008.7787       -0.558        0.322       -2.191        3.153        2.472       10.379
 2008.7814       -1.168        0.632       -8.000        3.141        2.533       10.676
 2008.7842       -0.583        0.196        2.515        3.071        2.461       10.255
 2008.7869       -1.434       -0.091        0.964        3.097        2.485       10.314
 2008.7896        1.157       -0.445        3.340        3.208        2.511       10.930
 2008.7923        0.726       -0.006       -6.677        3.120        2.527       10.462
 2008.7951        1.808        0.146       -1.671        3.083        2.436       10.044
 2008.7978        0.479       -1.319       -1.779        3.099        2.458       10.100
 2008.8005       -0.375       -1.893        8.913        3.092        2.419       10.230
 2008.8033       -1.613       -0.545        3.465        3.351        2.614       10.864
 2008.8060       -0.989        1.135       -5.935        3.275        2.640       10.981
 2008.8087       -0.799        1.796       -0.934        3.064        2.479       10.261
 2008.8115       -0.120        1.123        7.689        3.052        2.474       10.190
 2008.8142        1.909        0.557       -1.775        3.048        2.426       10.029
 2008.8169        4.224        0.564      -12.244        3.085        2.451       10.224
 2008.8197        2.785        3.286      -11.562        3.084        2.461       10.268
 2008.8224        1.825        3.138       -6.885        3.278        2.560       10.567
 2008.8251        1.407        2.933       -1.619        3.264        2.533       10.359
 2008.8279        0.531        2.263       -5.165        3.094        2.449       10.125
 2008.8306       -0.370        2.397        0.214        3.133        2.463       10.240
 2008.8333        0.127        0.405       -0.495        3.162        2.517       10.438
 2008.8361       -0.740        0.628        2.273        3.102        2.471       10.348
 2008.8388        0.825        0.627        3.777        3.148        2.503       10.193
 2008.8415        0.383        0.769       -6.874        3.086        2.432        9.999
 2008.8443       -0.075       -0.272        2.744        3.081        2.449       10.129
 2008.8470        4.126        2.419       -3.950        3.113        2.471       10.425
 2008.8497        3.300        3.121       -6.792        3.113        2.501       10.390
 2008.8525        2.699        4.425      -18.664        3.129        2.544       10.757
 2008.8552       -1.625        0.068        0.681        3.149        2.528       10.657
 2008.8579       -0.185        0.927        5.528        3.130        2.479       10.537
 2008.8607        1.783        1.890        4.216        3.129        2.523       10.588
 2008.8634        3.118        3.238        1.622        3.140        2.543       10.809
 2008.8661        2.406        3.554        0.833        3.119        2.539       10.457
 2008.8689        2.135        1.498       -3.522        3.080        2.541       10.564
 2008.8716        1.080        4.010       -6.174        3.138        2.472       10.423
 2008.8743        2.972        0.478       -7.620        3.084        2.461       10.129
 2008.8770        4.829        2.711       -6.469        3.134        2.475       10.097
 2008.8798        3.876        1.661       -2.256        3.113        2.477       10.107
 2008.8825        3.085        5.342      -11.688        3.070        2.437       10.048
 2008.8852        3.798        2.769        1.254        3.102        2.569       10.703
 2008.8880        0.819        4.257        2.441        3.140        2.549       10.687
 2008.8907        2.859        3.474        3.315        3.105        2.467       10.425
 2008.8934        0.653        2.323       -0.846        3.174        2.435       10.292
 2008.8962        2.231        3.274        5.044        3.115        2.474       10.354
 2008.8989        2.394        2.928       -3.129        3.057        2.449       10.243
 2008.9016        1.184        3.028       -7.366        3.032        2.445        9.972
