      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 2005.0685        0.000        0.000       -0.000        3.409        2.335       10.176
 2005.0712       -1.159       -0.723       -1.326        3.418        2.292       10.190
 2005.0740        0.549        1.083        5.399        3.434        2.366       10.403
 2005.0767        2.012        1.841       -0.829        3.315        2.247        9.727
 2005.0795        1.082        1.370       -2.810        3.315        2.253        9.814
 2005.0822        0.128        1.174       -3.631        3.390        2.299       10.103
 2005.0877       -4.788       -1.395       -0.982        3.391        2.327       10.229
 2005.0904       -1.298       -0.204        2.243        3.492        2.339       10.227
 2005.0932        3.279        1.600       -3.522        3.361        2.293       10.337
 2005.0959        2.371        2.089       -4.996        3.290        2.231        9.821
 2005.1014        0.082        1.349       -5.054        3.292        2.169        9.436
 2005.1041        0.328        1.732       -0.307        3.246        2.216        9.435
 2005.1068        0.503        0.640        1.054        3.339        2.244        9.752
 2005.1096       -1.671       -0.689        1.901        3.264        2.195        9.731
 2005.1123       -3.501       -0.955        4.349        3.407        2.247        9.922
 2005.1151       -3.103        1.073        8.874        3.290        2.155        9.540
 2005.1178        0.702       -0.411        3.189        3.235        2.174        9.434
 2005.1205        0.696       -1.770        0.028        3.264        2.196        9.603
 2005.1233       -0.905       -1.327       -2.601        3.303        2.189        9.627
 2005.1260        1.376       -0.330       -4.592        3.271        2.168        9.444
 2005.1288        0.202        0.718       -0.154        3.451        2.251        9.768
 2005.1315       -1.091        0.494        1.569        3.430        2.233        9.852
 2005.1342       -1.088        1.245        0.463        3.278        2.175        9.596
 2005.1370       -0.290        1.656        2.803        3.401        2.186        9.683
 2005.1397       -0.545        0.444       -1.900        3.247        2.172        9.408
 2005.1425       -0.750        0.160        1.574        3.315        2.217        9.776
 2005.1452       -1.251        1.231        1.606        3.497        2.300       10.271
 2005.1507        0.753        1.194        0.117        3.424        2.296       10.250
 2005.1562       -0.879       -0.068        6.543        3.544        2.290       10.186
 2005.1589       -1.216        0.232        3.300        3.398        2.237        9.766
 2005.1616       -3.326       -1.666        1.801        3.426        2.250        9.907
 2005.1671       -1.623        1.182        5.295        3.476        2.248        9.886
 2005.1699       -1.544        0.822        1.716        3.509        2.272        9.821
 2005.1726       -0.207        1.491        3.034        3.465        2.263        9.943
 2005.1781       -0.078        1.170       -0.570        3.449        2.244       10.086
 2005.1863        0.935       -0.227        5.868        3.548        2.370       10.266
 2005.1890        2.715       -0.443       -2.631        3.566        2.294       10.183
 2005.1918       -0.211       -0.095       -3.404        3.504        2.297       10.156
 2005.1945        2.436        1.427       -8.254        3.381        2.257        9.772
