      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 1996.6995        1.490       -0.315       12.983        3.498        2.688       12.309
 1996.7022        2.367        3.069       15.283        3.514        2.694       12.221
 1996.7049        2.950        3.570       12.724        3.547        2.700       11.941
 1996.7077        0.903        1.241        0.769        3.469        2.747       12.241
 1996.7104        3.291        2.970        3.607        3.522        2.709       12.327
 1996.7131        1.271        3.562       -1.192        3.458        2.644       11.885
 1996.7158        2.549        2.444       -2.513        3.478        2.697       12.169
 1996.7186        1.026        2.444        0.883        3.369        2.641       11.884
 1996.7213        1.771        0.469        1.929        3.488        2.748       12.344
 1996.7240        2.698        1.616        1.731        3.503        2.722       12.261
 1996.7268        2.290        3.102       -3.010        3.558        2.941       13.219
 1996.7295        4.116        3.718       -0.902        3.729        2.851       12.933
 1996.7322        2.342        1.715        1.454        3.535        2.714       12.243
 1996.7350        1.483        0.867        2.951        3.500        2.798       12.397
 1996.7377        1.802        2.103        4.506        3.596        2.838       12.806
 1996.7404        3.347        2.051        2.032        3.731        2.824       12.557
 1996.7432        1.633        3.382       -1.873        3.742        2.821       12.585
 1996.7459        3.609        3.257        6.292        3.717        2.880       12.643
 1996.7486        4.245       -0.570        2.106        3.886        3.002       13.226
 1996.7514        3.082        1.688        3.930        3.728        2.843       12.577
 1996.7541       -0.533        0.796        2.457        3.849        2.925       13.199
 1996.7568       -1.014        1.861        9.689        3.770        2.978       13.158
 1996.7596        3.049       -0.683       10.478        3.709        2.905       12.869
 1996.7623        3.884       -0.281        0.357        3.630        2.854       12.525
 1996.7650        2.120        1.170        6.025        3.757        2.910       13.187
 1996.7678        4.827       -0.312        6.248        3.904        2.908       13.155
 1996.7732        2.624       -1.122        2.210        3.660        2.746       12.331
 1996.7760        3.858        0.169        8.871        3.641        2.780       12.305
 1996.7787        3.468        2.084        6.870        3.718        2.782       12.684
 1996.7814       -0.568        1.903        7.054        3.817        2.877       13.070
 1996.7842       -0.040        1.132        4.755        3.795        2.905       13.211
 1996.7869        2.517       -2.126        7.607        3.747        2.868       13.072
 1996.7896        2.064       -2.224        5.263        3.732        2.865       12.942
 1996.7923        2.660        2.133        6.161        3.657        2.784       12.583
 1996.7951        0.969        4.089        4.078        3.805        2.842       13.050
 1996.7978        1.598       -1.360        7.466        3.706        2.843       12.702
 1996.8005        2.620       -1.091        6.749        3.680        2.795       12.701
 1996.8033        2.603        0.180       -1.126        3.715        2.791       12.595
 1996.8060        6.067        4.204       15.269        3.828        2.899       13.208
 1996.8087        2.079       -4.925        9.529        3.772        2.799       12.981
 1996.8115        3.852       -2.055       12.343        3.799        2.836       12.875
 1996.8142        1.242       -3.647        4.524        3.706        2.831       12.744
 1996.8169        2.947       -0.879        3.793        3.700        2.765       12.673
 1996.8197        2.148       -1.604        0.229        3.667        2.784       12.492
 1996.8224        0.944       -3.977        1.946        3.820        2.817       12.700
 1996.8251        2.455       -1.309        6.745        3.648        2.778       12.451
 1996.8279        6.314        0.156        1.033        3.777        2.808       12.615
 1996.8306        3.075       -2.704        5.066        3.803        2.810       12.834
 1996.8333        2.165       -0.497        0.142        3.652        2.788       12.432
 1996.8361       -2.137       -1.180        4.163        3.661        2.791       12.637
 1996.8388        1.333       -2.660        5.397        3.698        2.844       12.624
 1996.8415        0.338       -0.071        6.731        3.916        2.883       12.987
 1996.8443       -0.066       -1.071        7.189        3.810        2.829       12.958
 1996.8470        0.419       -3.826        5.675        3.901        2.873       13.012
 1996.8497        0.037       -1.659        2.827        3.805        2.816       12.679
 1996.8525       -3.081       -2.385        4.398        4.031        2.963       13.618
 1996.8552        1.943       -1.886        6.891        3.916        2.895       13.331
 1996.8579        3.591        0.180        3.273        3.810        2.835       12.799
 1996.8607        0.080       -0.970        1.635        3.866        2.832       12.920
 1996.8634       -0.739        3.071       -2.836        3.813        2.854       12.850
 1996.8661        2.474        0.476        8.831        3.842        2.863       12.929
 1996.8689        1.510       -0.366        7.711        3.884        2.845       12.949
 1996.8716        1.694       -0.653        8.156        3.849        2.876       12.778
 1996.8743        2.077       -0.333       10.603        3.778        2.860       12.763
 1996.8770        0.593       -0.955       10.213        3.739        2.788       12.475
 1996.8798        1.763       -1.953        8.357        3.754        2.788       12.607
 1996.8825        0.469       -0.794        5.755        3.832        2.879       13.077
 1996.8852       -0.252       -3.073        9.262        3.744        2.816       12.669
 1996.8880        2.525       -1.877        6.098        3.694        2.811       12.501
 1996.8907        3.155       -0.708        5.777        3.687        2.790       12.489
 1996.8934        0.151        1.498        5.396        3.752        2.830       12.695
 1996.8962        0.104        0.246        1.430        3.735        2.851       12.693
 1996.8989        0.850       -0.812       -1.613        3.778        2.885       12.853
 1996.9016       -0.473       -1.738        5.803        3.916        2.968       13.300
 1996.9098       -2.336       -8.884       23.827        3.981        3.034       13.432
 1996.9126       -5.926       -6.780       23.183        4.117        2.974       13.511
 1997.0000       -3.630        1.064       15.629        3.964        2.974       13.617
 1997.0027       -0.959        2.557       14.821        4.023        2.945       13.481
 1997.0055       -0.305        1.258        1.391        3.988        2.931       13.383
 1997.0082       -2.483        0.728       -2.993        3.772        2.864       12.836
 1997.0110       -1.400        1.648       -7.051        3.896        2.851       13.047
