 lat.  lon.
  0.00000  -2.00000  
  0.00000  -1.98998  
  0.00000  -1.97995  
  0.00000  -1.96992  
  0.00000  -1.95990  
  0.00000  -1.94988  
  0.00000  -1.93985  
  0.00000  -1.92982  
  0.00000  -1.91980  
  0.00000  -1.90977  
  0.00000  -1.89975  
  0.00000  -1.88972  
  0.00000  -1.87970  
  0.00000  -1.86967  
  0.00000  -1.85965  
  0.00000  -1.84962  
  0.00000  -1.83960  
  0.00000  -1.82957  
  0.00000  -1.81955  
  0.00000  -1.80952  
  0.00000  -1.79950  
  0.00000  -1.78947  
  0.00000  -1.77945  
  0.00000  -1.76942  
  0.00000  -1.75940  
  0.00000  -1.74937  
  0.00000  -1.73935  
  0.00000  -1.72932  
  0.00000  -1.71930  
  0.00000  -1.70927  
  0.00000  -1.69925  
  0.00000  -1.68922  
  0.00000  -1.67920  
  0.00000  -1.66917  
  0.00000  -1.65915  
  0.00000  -1.64912  
  0.00000  -1.63910  
  0.00000  -1.62907  
  0.00000  -1.61905  
  0.00000  -1.60902  
  0.00000  -1.59900  
  0.00000  -1.58897  
  0.00000  -1.57895  
  0.00000  -1.56892  
  0.00000  -1.55890  
  0.00000  -1.54887  
  0.00000  -1.53885  
  0.00000  -1.52882  
  0.00000  -1.51880  
  0.00000  -1.50877  
  0.00000  -1.49875  
  0.00000  -1.48872  
  0.00000  -1.47870  
  0.00000  -1.46867  
  0.00000  -1.45865  
  0.00000  -1.44862  
  0.00000  -1.43860  
  0.00000  -1.42857  
  0.00000  -1.41855  
  0.00000  -1.40852  
  0.00000  -1.39850  
  0.00000  -1.38847  
  0.00000  -1.37845  
  0.00000  -1.36842  
  0.00000  -1.35840  
  0.00000  -1.34837  
  0.00000  -1.33835  
  0.00000  -1.32832  
  0.00000  -1.31830  
  0.00000  -1.30827  
  0.00000  -1.29825  
  0.00000  -1.28822  
  0.00000  -1.27819  
  0.00000  -1.26817  
  0.00000  -1.25815  
  0.00000  -1.24812  
  0.00000  -1.23809  
  0.00000  -1.22807  
  0.00000  -1.21805  
  0.00000  -1.20802  
  0.00000  -1.19799  
  0.00000  -1.18797  
  0.00000  -1.17795  
  0.00000  -1.16792  
  0.00000  -1.15789  
  0.00000  -1.14787  
  0.00000  -1.13784  
  0.00000  -1.12782  
  0.00000  -1.11779  
  0.00000  -1.10777  
  0.00000  -1.09774  
  0.00000  -1.08772  
  0.00000  -1.07769  
  0.00000  -1.06767  
  0.00000  -1.05764  
  0.00000  -1.04762  
  0.00000  -1.03759  
  0.00000  -1.02757  
  0.00000  -1.01754  
  0.00000  -1.00752  
  0.00000  -0.99749  
  0.00000  -0.98747  
  0.00000  -0.97744  
  0.00000  -0.96742  
  0.00000  -0.95739  
  0.00000  -0.94737  
  0.00000  -0.93734  
  0.00000  -0.92732  
  0.00000  -0.91729  
  0.00000  -0.90727  
  0.00000  -0.89724  
  0.00000  -0.88722  
  0.00000  -0.87719  
  0.00000  -0.86717  
  0.00000  -0.85714  
  0.00000  -0.84712  
  0.00000  -0.83709  
  0.00000  -0.82707  
  0.00000  -0.81704  
  0.00000  -0.80702  
  0.00000  -0.79699  
  0.00000  -0.78697  
  0.00000  -0.77694  
  0.00000  -0.76692  
  0.00000  -0.75689  
  0.00000  -0.74687  
  0.00000  -0.73684  
  0.00000  -0.72682  
  0.00000  -0.71679  
  0.00000  -0.70677  
  0.00000  -0.69674  
  0.00000  -0.68672  
  0.00000  -0.67669  
  0.00000  -0.66667  
  0.00000  -0.65664  
  0.00000  -0.64662  
  0.00000  -0.63659  
  0.00000  -0.62657  
  0.00000  -0.61654  
  0.00000  -0.60652  
  0.00000  -0.59649  
  0.00000  -0.58647  
  0.00000  -0.57644  
